basin_id;basin_name;population;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;average;low;moderate;significant;severe
1;Khatanga;4633;0.0028;0.0748;0.1238;0.2050;0.0198;0.0002;0.0003;0.0006;0.0010;0.0018;0.0030;0.0050;0.0365;12;0;0;0
2;Olenek;5960;0.0046;0.0353;0.0585;0.0968;0.0086;0.0003;0.0010;0.0018;0.0030;0.0051;0.0084;0.0140;0.0198;12;0;0;0
3;Anabar;1402;0.0025;0.0155;0.0257;0.0425;0.0704;0.0003;0.0006;0.0013;0.0022;0.0037;0.0062;0.0102;0.0151;12;0;0;0
4;Yana;24517;0.0259;0.3188;0.5276;0.8731;0.1459;0.0031;0.0034;0.0061;0.0127;0.0210;0.0347;0.0575;0.1691;12;0;0;0
5;Yenisei;8453280;0.4340;9.4345;15.4851;1.4567;0.2070;0.2701;0.4066;0.4410;0.3377;0.3749;0.4938;0.8021;2.5119;12;0;0;0
6;Indigirka;41777;0.0208;0.2202;0.3645;0.6032;0.0877;0.0024;0.0027;0.0058;0.0109;0.0182;0.0301;0.0498;0.1180;12;0;0;0
7;Lena;1284810;0.0771;1.8572;3.0693;3.3623;0.0140;0.0098;0.0145;0.0196;0.0228;0.0510;0.0845;0.1400;0.7268;12;0;0;0
8;Omoloy;2881;0.1015;4.0716;6.7148;11.0455;18.0938;0.0064;0.0098;0.0212;0.0371;0.0624;0.1034;0.1712;3.3699;12;0;0;0
9;Tana (NO. FI);6523;0.1020;675.0062;675.2675;675.4256;0.0026;0.0094;0.0160;0.0265;0.0337;0.0491;0.0940;0.1556;168.85;9;0;0;3
10;Colville;980;0.0134;1.8170;3.0031;4.9577;0.0546;0.0013;0.0013;0.0024;0.0043;0.0077;0.0127;0.0210;0.8247;12;0;0;0
11;Alazeya;6649;0.0342;0.2015;0.3336;0.5521;0.9136;0.0033;0.0113;0.0200;0.0332;0.0549;0.0909;0.1506;0.1999;12;0;0;0
12;Anderson;90;0.0055;0.8612;1.4246;2.3554;0.0001;0.0004;0.0007;0.0011;0.0019;0.0031;0.0052;0.0086;0.3890;12;0;0;0
13;Kolyma;138225;0.0352;0.8134;1.3456;2.2250;0.0245;0.0051;0.0036;0.0082;0.0125;0.0235;0.0389;0.0643;0.3833;12;0;0;0
14;Tuloma;209338;2.1008;17.0752;27.8103;44.8351;0.1147;0.3631;0.6625;1.1014;1.6666;1.6387;3.5976;5.9357;8.9085;12;0;0;0
15;Muonio;57777;0.3821;4.1849;6.9009;0.2570;0.0274;0.0495;0.0733;0.1416;0.1864;0.2935;0.5410;0.8952;1.1611;12;0;0;0
16;Yukon ;130852;0.0732;1.4055;2.3239;0.3885;0.0081;0.0089;0.0138;0.0228;0.0291;0.0475;0.0846;0.1396;0.3788;12;0;0;0
17;Palyavaam;7831;0.0697;623.8062;643.3724;655.8221;663.5607;0.0039;0.0072;0.0141;0.0209;0.0388;0.0642;0.1064;215.57;8;0;0;4
18;Kemijoki;148981;0.3310;50.0359;79.0074;0.2714;0.0179;0.0659;0.1106;0.1725;0.1490;0.1180;0.3123;0.5168;10.926;12;0;0;0
19;Mackenzie ;494118;0.2929;18.9941;30.8799;0.1944;0.0244;0.0237;0.0397;0.0741;0.1116;0.1636;0.2882;0.4740;4.2967;12;0;0;0
20;Noatak ;2044;0.0331;6.2836;10.3406;16.9507;0.0129;0.0026;0.0047;0.0083;0.0082;0.0188;0.0311;0.0514;2.8122;12;0;0;0
21;Anadyr;11240;0.0090;8.3700;13.7465;22.4602;0.0043;0.0005;0.0010;0.0019;0.0026;0.0050;0.0083;0.0138;3.7186;12;0;0;0
22;Pechora;605994;0.2334;18.4129;29.9508;0.3960;0.0098;0.0148;0.0353;0.0596;0.0730;0.1290;0.2257;0.3736;4.1595;12;0;0;0
23;Lule;35562;0.1025;32.5938;52.3104;0.0287;0.0083;0.0085;0.0169;0.0289;0.0337;0.0470;0.0956;0.1582;7.1194;12;0;0;0
24;Kalixaelven;35032;0.3964;4.7001;7.7466;0.0799;0.0251;0.0410;0.0883;0.1529;0.2255;0.2618;0.5390;0.8919;1.2624;12;0;0;0
25;Ob;29372200;4.0137;140.4324;204.6547;0.5929;1.0247;2.9250;7.2572;9.7862;6.6400;3.6580;4.1680;6.6834;32.653;10;1;0;1
26;Ellice;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12;0;0;0
27;Taz;15085;0.0144;2.3835;3.9372;6.4939;0.0011;0.0006;0.0020;0.0033;0.0045;0.0082;0.0136;0.0225;1.0737;12;0;0;0
28;Kobuk ;2198;0.0264;0.1753;0.2902;0.4803;0.0027;0.0051;0.0090;0.0149;0.0164;0.0349;0.0578;0.0956;0.1007;12;0;0;0
29;Coppermine;431;0.0499;11.7395;19.2179;31.2356;0.0037;0.0020;0.0058;0.0103;0.0171;0.0282;0.0468;0.0774;5.2028;12;0;0;0
30;Hayes(Trib. Arctic Ocean);0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12;0;0;0
31;Pur;196795;0.2516;675.6757;675.6757;675.6757;0.0259;0.0123;0.0404;0.0667;0.0643;0.1400;0.2318;0.3836;169.02;9;0;0;3
32;Varzuga;4145;0.0832;675.6757;675.6757;675.6757;0.0057;0.0208;0.0356;0.0589;0.0349;0.0280;0.0766;0.1269;168.96;9;0;0;3
33;Ponoy;3407;0.0254;675.6757;675.6757;675.6757;0.0020;0.0074;0.0126;0.0181;0.0120;0.0082;0.0234;0.0387;168.93;9;0;0;3
34;Kovda;33176;1.0261;675.6757;675.6757;675.6757;0.0356;0.1121;0.2062;0.3396;0.4410;0.4030;0.9453;1.5637;169.34;9;0;0;3
35;Back;11;0.0001;675.6757;675.6757;675.6757;0.0000;0.0000;0.0000;0.0000;0.0000;0.0001;0.0001;0.0002;168.92;9;0;0;3
36;Kem;75620;0.3140;135.2620;197.9660;0.0280;0.0189;0.0546;0.0945;0.1508;0.1719;0.1061;0.2914;0.4823;27.912;10;1;1;0
37;Nadym;43644;0.1079;207.2609;285.6964;370.3467;0.0092;0.0056;0.0176;0.0283;0.0275;0.0601;0.0995;0.1647;71.985;9;0;0;3
38;Quoich ;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12;0;0;0
