gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,64,64,66
female,group C,some college,standard,completed,69,90,88
female,group B,master's degree,standard,none,81,85,83
male,group A,associate's degree,free/reduced,none,42,51,39
male,group C,some college,standard,none,68,70,67
female,group B,associate's degree,standard,none,63,74,70
female,group B,some college,standard,completed,88,95,92
male,group B,some college,free/reduced,none,36,38,35
male,group D,high school,free/reduced,completed,64,64,67
female,group B,high school,free/reduced,none,34,54,45
male,group C,associate's degree,standard,none,52,48,46
male,group D,associate's degree,standard,none,36,46,38
female,group B,high school,standard,none,58,72,65
male,group A,some college,standard,completed,78,72,70
female,group A,master's degree,standard,none,45,47,52
female,group C,some high school,standard,none,62,67,70
male,group C,high school,standard,none,79,80,77
female,group B,some high school,free/reduced,none,16,28,25
male,group C,master's degree,free/reduced,completed,46,42,46
female,group C,associate's degree,free/reduced,none,48,52,54
male,group D,high school,standard,none,59,62,56
female,group B,some college,free/reduced,completed,65,75,70
male,group D,some college,standard,none,39,48,47
female,group C,some high school,standard,none,62,65,65
male,group D,bachelor's degree,free/reduced,completed,74,71,80
male,group A,master's degree,free/reduced,none,65,66,64
male,group B,some college,standard,none,62,48,49
female,group C,bachelor's degree,standard,none,60,62,67
male,group C,high school,standard,none,63,63,58
female,group D,master's degree,standard,none,55,63,67
female,group D,some college,standard,none,62,66,66
female,group B,some college,standard,none,56,58,54
female,group E,master's degree,free/reduced,none,50,64,58
male,group D,some college,standard,none,36,37,34
male,group E,some college,standard,none,87,78,73
male,group E,associate's degree,standard,completed,81,81,79
female,group D,associate's degree,standard,none,66,72,74
female,group D,some high school,free/reduced,none,45,57,53
female,group D,associate's degree,free/reduced,completed,75,90,88
male,group B,associate's degree,free/reduced,none,51,50,51
male,group C,associate's degree,free/reduced,none,49,54,48
female,group C,associate's degree,standard,none,52,65,61
female,group B,associate's degree,standard,none,47,52,58
male,group B,some college,free/reduced,completed,59,65,66
female,group E,associate's degree,free/reduced,none,45,50,48
male,group B,associate's degree,standard,none,58,48,51
female,group A,associate's degree,standard,completed,55,65,62
female,group C,high school,standard,none,59,63,68
female,group D,associate's degree,free/reduced,completed,57,74,76
male,group C,high school,standard,completed,82,84,82
male,group E,some college,standard,none,47,49,43
male,group E,associate's degree,free/reduced,completed,77,69,68
male,group C,some college,standard,none,47,39,37
male,group D,high school,standard,none,79,70,67
female,group C,some high school,free/reduced,completed,71,84,87
female,group C,high school,free/reduced,none,29,36,38
female,group E,associate's degree,standard,completed,82,85,86
male,group D,associate's degree,standard,none,46,49,44
male,group D,some college,standard,completed,58,59,58
female,group C,some high school,free/reduced,none,0,15,9
male,group E,bachelor's degree,free/reduced,completed,79,74,72
male,group A,some high school,free/reduced,none,35,35,30
male,group A,associate's degree,free/reduced,none,55,54,49
female,group C,associate's degree,standard,none,62,72,63
female,group D,some high school,standard,none,53,52,53
male,group B,some high school,standard,none,60,57,54
male,group D,some high school,free/reduced,none,40,33,33
female,group C,some college,standard,none,54,64,66
male,group B,associate's degree,free/reduced,none,54,52,50
female,group C,associate's degree,standard,none,35,57,51
female,group D,some college,free/reduced,completed,58,63,73
male,group D,some college,standard,completed,63,55,63
female,group A,associate's degree,free/reduced,none,36,45,43
male,group C,some high school,free/reduced,none,54,51,50
male,group C,some high school,standard,none,44,44,36
male,group B,associate's degree,free/reduced,none,39,36,34
male,group E,some high school,standard,none,27,23,19
male,group A,bachelor's degree,standard,completed,80,78,81
female,group D,some high school,standard,completed,61,74,72
female,group E,master's degree,standard,none,55,61,61
female,group B,associate's degree,standard,none,42,44,45
male,group B,high school,free/reduced,none,44,40,40
male,group A,some college,free/reduced,completed,50,47,54
male,group E,associate's degree,standard,none,64,57,56
male,group D,high school,free/reduced,none,37,35,30
female,group C,some college,standard,none,65,72,73
female,group C,some college,free/reduced,none,68,74,79
female,group D,associate's degree,standard,none,63,63,66
female,group A,some college,standard,none,52,63,60
female,group D,some high school,standard,none,65,77,73
female,group C,bachelor's degree,standard,none,58,64,66
male,group C,high school,free/reduced,none,24,30,32
male,group C,high school,standard,none,63,71,63
male,group C,associate's degree,free/reduced,completed,43,45,50
female,group B,some college,standard,none,71,77,82
male,group C,associate's degree,free/reduced,completed,78,81,82
male,group B,some high school,standard,completed,65,66,62
female,group E,some college,standard,completed,63,72,70
female,group D,some college,free/reduced,none,52,60,55
female,group D,bachelor's degree,standard,none,58,60,55
male,group B,some college,standard,none,71,60,60
male,group D,bachelor's degree,standard,completed,68,74,74
female,group D,associate's degree,standard,none,76,81,80
male,group B,high school,standard,completed,60,44,47
male,group C,some college,standard,completed,98,86,90
female,group C,some college,standard,none,52,60,64
female,group D,master's degree,standard,none,78,90,90
male,group E,associate's degree,standard,completed,66,63,64
female,group B,associate's degree,free/reduced,none,46,68,63
female,group B,some high school,standard,none,63,57,64
female,group D,associate's degree,free/reduced,completed,77,89,98
male,group C,high school,standard,none,55,49,44
male,group A,associate's degree,standard,none,48,47,42
female,group D,some college,standard,none,45,52,48
female,group E,bachelor's degree,standard,completed,99,100,100
male,group C,high school,standard,none,75,69,66
female,group B,bachelor's degree,free/reduced,none,67,76,73
female,group D,bachelor's degree,standard,none,70,73,71
female,group D,some high school,standard,none,45,56,54
female,group C,some college,standard,none,49,62,58
female,group C,bachelor's degree,standard,completed,79,92,89
male,group B,associate's degree,standard,completed,91,89,92
female,group C,some college,standard,completed,88,93,93
male,group D,high school,free/reduced,none,56,51,50
male,group E,some college,standard,none,74,72,65
female,group B,high school,standard,none,78,85,77
male,group B,some high school,standard,none,64,61,60
male,group D,some college,standard,completed,65,77,74
male,group D,master's degree,standard,none,73,73,66
female,group A,bachelor's degree,standard,none,45,44,45
male,group D,master's degree,standard,none,80,75,73
male,group C,some high school,free/reduced,completed,53,37,40
male,group E,some college,free/reduced,completed,87,74,70
female,group C,some college,standard,completed,75,81,84
male,group D,bachelor's degree,free/reduced,completed,74,79,75
male,group C,bachelor's degree,standard,none,52,49,43
male,group B,some high school,standard,completed,51,54,41
male,group E,high school,standard,none,63,49,50
female,group C,associate's degree,standard,none,53,59,60
male,group D,some college,standard,completed,71,61,69
female,group D,some high school,standard,none,68,64,63
female,group C,some college,free/reduced,none,53,55,57
female,group E,some college,free/reduced,completed,42,55,54
male,group A,high school,standard,none,51,38,42
male,group D,some college,standard,none,79,65,70
female,group C,some college,free/reduced,none,19,35,29
male,group B,some high school,standard,none,79,75,67
male,group C,associate's degree,free/reduced,none,65,61,59
female,group D,bachelor's degree,standard,completed,68,75,81
male,group E,associate's degree,free/reduced,completed,100,100,93
male,group A,some high school,standard,completed,62,67,69
male,group A,bachelor's degree,standard,none,69,60,61
female,group B,associate's degree,standard,completed,59,70,66
male,group D,bachelor's degree,standard,none,48,44,42
male,group D,some high school,standard,none,55,60,54
female,group C,some college,standard,completed,70,89,88
female,group E,high school,free/reduced,completed,66,74,78
male,group B,some college,free/reduced,none,54,54,54
female,group B,associate's degree,standard,completed,61,86,87
male,group D,associate's degree,free/reduced,none,59,55,57
male,group B,associate's degree,free/reduced,completed,82,78,74
female,group E,some college,free/reduced,completed,75,88,85
male,group B,master's degree,free/reduced,none,44,47,46
male,group C,high school,standard,none,46,47,44
female,group E,master's degree,standard,none,72,82,81
female,group C,bachelor's degree,standard,completed,96,100,100
male,group C,high school,free/reduced,completed,53,51,51
female,group B,master's degree,free/reduced,completed,58,76,78
female,group B,high school,standard,completed,68,83,78
female,group C,some college,free/reduced,completed,67,75,70
male,group A,high school,standard,completed,72,73,74
male,group E,some high school,standard,none,84,79,70
female,group D,some college,standard,none,71,77,72
female,group C,associate's degree,standard,none,56,60,63
female,group C,bachelor's degree,free/reduced,completed,43,51,54
female,group C,master's degree,standard,completed,81,91,87
female,group B,high school,free/reduced,completed,46,54,58
female,group C,associate's degree,standard,completed,71,77,77
female,group B,master's degree,free/reduced,completed,52,70,62
female,group D,some high school,standard,completed,97,100,100
male,group C,master's degree,free/reduced,completed,62,68,75
female,group C,some college,free/reduced,none,41,57,59
female,group E,high school,standard,none,45,45,42
female,group D,associate's degree,standard,none,58,62,63
male,group C,some high school,free/reduced,completed,45,52,49
male,group C,associate's degree,free/reduced,completed,65,67,65
male,group E,high school,standard,none,72,68,58
male,group D,some high school,standard,completed,62,66,68
male,group B,some high school,free/reduced,none,43,46,40
female,group C,bachelor's degree,standard,none,69,79,78
female,group E,associate's degree,standard,none,59,58,62
male,group D,some college,standard,completed,76,83,79
female,group B,some high school,standard,none,55,57,59
male,group D,some college,standard,completed,77,62,62
female,group C,master's degree,standard,completed,69,84,85
male,group D,associate's degree,standard,none,54,49,46
male,group C,some high school,free/reduced,completed,59,69,65
male,group E,high school,free/reduced,none,49,50,45
female,group B,some college,free/reduced,none,40,47,49
female,group B,bachelor's degree,free/reduced,none,70,71,68
female,group C,associate's degree,standard,completed,67,84,86
female,group D,some college,free/reduced,none,58,72,69
male,group C,associate's degree,standard,none,62,69,62
female,group B,associate's degree,standard,none,51,62,61
male,group C,some college,standard,none,53,36,37
male,group D,some high school,standard,completed,74,71,78
male,group E,bachelor's degree,standard,none,73,55,55
male,group E,high school,standard,completed,81,80,76
female,group B,some college,free/reduced,none,66,72,68
female,group B,some college,free/reduced,none,52,54,59
male,group D,some high school,free/reduced,completed,80,79,79
male,group C,some college,free/reduced,none,31,25,24
female,group C,high school,free/reduced,none,37,55,54
male,group C,associate's degree,free/reduced,completed,60,51,56
male,group E,high school,standard,completed,87,91,81
male,group B,some high school,standard,completed,84,83,75
female,group E,associate's degree,free/reduced,completed,83,86,88
female,group C,high school,free/reduced,none,30,37,35
male,group B,high school,free/reduced,none,59,69,63
male,group B,some high school,standard,completed,61,56,56
female,group D,high school,standard,completed,56,68,74
