,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,kelas
0,1737.5,209.0,20.75,0.0,471.75,78.5,77.75,1.25,1.75,1.25,52.0,11.75,0.0,0.0,0.0,0.0,360.75,66.5,1.0,0.0,1602.5,1433.75,230.0,0.75,549.25,936.75,160.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,222.5,4.5,1.25,676.5,1527.0,240.75,17.25,9.75,72.75,28.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83.75,50.5,0.0,10.0,55.5,117.25,58.75,725.0,2189.0,831.5,381.25,226.75,132.0,109.5,82.75,75.75,76.25,80.25,93.0,102.5,145.5,206.25,389.75,815.75,4631.75,Batik Bali
1,940.5,308.5,11.75,14.5,0.0,665.0,678.5,175.0,0.0,0.0,9.5,76.25,0.0,0.0,0.0,0.0,6.5,22.25,0.0,0.0,6.25,828.5,1683.0,31.0,0.0,0.0,733.75,950.25,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,175.25,111.0,0.0,0.0,63.5,541.25,71.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,42.0,0.5,0.0,0.0,0.0,0.5,161.25,1392.0,852.25,496.5,313.75,237.75,173.75,131.5,125.5,128.0,106.75,132.0,160.75,217.75,286.25,487.5,796.75,1995.75,Batik Bali
2,937.75,4.5,0.0,0.0,3.25,171.5,129.5,0.0,0.0,0.75,57.5,2.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,83.0,1208.75,1297.75,7.0,0.0,286.0,2870.75,772.5,0.0,0.0,2.25,33.75,0.0,0.0,0.0,0.0,161.5,108.25,87.75,0.5,101.0,806.25,1417.5,477.0,0.0,0.5,30.5,348.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,93.0,16.5,4.5,0.0,3.5,7.75,4.5,385.5,2023.0,986.0,487.75,311.0,205.75,141.0,116.25,121.75,125.75,126.5,146.0,167.25,222.25,342.25,550.5,1177.0,3916.25,Batik Bali
3,1598.0,4.75,154.25,4.0,721.5,337.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,1.0,1501.5,275.75,141.25,0.0,1125.0,772.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.5,0.0,0.0,1830.25,648.5,0.0,0.0,510.0,1283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7514.25,4226.0,1913.5,512.75,276.5,199.25,159.5,119.75,115.5,97.5,889.5,116.75,102.25,117.0,173.5,217.25,298.25,576.75,8373.0,Batik Bali
4,1785.25,441.25,11.5,0.0,0.0,36.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.75,11.25,0.0,1.25,647.75,3188.0,3.5,0.0,0.0,199.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.75,141.5,3.0,0.0,153.75,3057.75,5839.5,0.0,0.0,0.0,586.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.75,290.0,0.0,0.0,45.5,4176.0,4356.0,3272.75,779.75,249.25,120.5,69.5,41.75,38.5,37.5,39.75,35.0,31.75,50.0,56.75,118.0,258.5,711.0,11184.75,Batik Bali
5,5875.5,1297.5,0.5,0.0,0.0,127.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,892.5,0.0,0.0,6.25,5868.5,345.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.75,440.25,0.0,0.0,2.5,4857.25,372.0,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.25,316.5,0.0,0.0,2.25,6175.25,9323.75,2008.25,340.0,142.0,76.5,39.75,36.75,25.0,15.75,18.5,17.0,17.75,32.0,44.0,64.5,141.0,338.25,14600.25,Batik Bali
6,5137.75,2450.75,249.25,190.5,2.25,483.75,944.75,210.25,0.0,0.0,2.25,57.5,0.0,0.0,0.0,0.0,1.5,7.75,0.0,5.75,2.0,208.5,881.5,126.5,0.0,6.25,225.75,329.5,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,1.75,6.25,5.75,0.0,2.25,96.75,218.5,0.0,0.0,16.0,169.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.75,0.0,1.75,15.5,174.75,874.0,2368.0,680.0,300.75,163.0,106.25,81.25,62.25,49.0,58.5,57.25,72.0,74.75,111.75,143.0,311.25,752.5,5973.75,Batik Bali
7,1737.5,209.0,20.75,0.0,471.75,78.5,77.75,1.25,1.75,1.25,52.0,11.75,0.0,0.0,0.0,0.0,360.75,66.5,1.0,0.0,1602.5,1433.75,230.0,0.75,549.25,936.75,160.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,222.5,4.5,1.25,676.5,1527.0,240.75,17.25,9.75,72.75,28.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83.75,50.5,0.0,10.0,55.5,117.25,58.75,725.0,2189.0,831.5,381.25,226.75,132.0,109.5,82.75,75.75,76.25,80.25,93.0,102.5,145.5,206.25,389.75,815.75,4631.75,Batik Bali
8,2178.25,8.75,0.0,0.0,2.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.5,1.75,0.0,0.0,93.0,2598.75,277.5,0.0,0.0,12.75,589.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,969.5,22.25,0.0,0.0,457.5,6103.75,305.5,0.0,0.0,42.0,805.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.5,58.0,0.0,0.0,196.0,8576.25,5199.25,2888.75,506.25,191.75,107.25,74.75,47.5,40.75,30.75,62.25,37.25,44.25,53.5,58.25,97.0,184.25,529.75,13931.75,Batik Bali
9,2699.5,4448.5,84.25,0.0,2.5,611.25,462.25,0.25,0.0,0.0,1.5,0.75,0.0,0.0,0.0,0.0,2.25,26.75,61.75,61.75,29.0,1029.25,2279.5,1.5,0.0,39.25,956.25,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,323.25,334.0,261.25,0.0,0.0,0.5,54.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.5,0.5,0.0,4.25,1.25,18.0,1675.25,2247.5,554.75,260.75,170.5,120.25,95.75,84.5,90.75,85.0,86.25,91.75,97.0,125.25,178.0,276.25,593.75,7017.25,Batik Bali
