,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,kelas
0,3914.25,243.0,267.75,0.0,7.5,18.5,53.75,7.5,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,466.5,61.5,120.25,0.0,311.0,296.5,552.75,50.0,0.0,11.5,72.25,103.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,89.75,9.75,24.5,3.5,0.0,33.0,314.25,273.25,0.0,0.0,26.0,124.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,9.25,11.25,0.0,0.0,42.75,726.0,486.0,1835.5,737.25,347.0,206.25,144.5,110.5,80.5,78.5,67.25,67.75,62.5,94.75,129.75,175.5,312.5,639.25,2672.0,Batik Bali
1,5470.0,457.5,72.75,0.25,1.5,256.25,261.5,11.75,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,469.5,681.25,88.25,0.0,3.5,601.75,568.25,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5,5.75,9.25,0.0,1.5,194.25,360.0,0.0,0.0,0.25,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,208.25,1297.0,1615.75,574.25,287.0,164.25,130.5,101.5,72.5,69.25,62.25,69.25,72.0,94.5,123.5,187.0,250.25,528.0,4344.25,Batik Bali
2,6713.0,125.0,4.25,0.0,126.25,119.0,101.5,22.0,0.0,0.0,4.5,20.75,0.0,0.0,0.0,0.0,14.0,5.75,0.0,0.0,26.5,654.0,76.0,1.5,0.0,45.0,119.75,135.75,0.0,0.0,0.0,14.75,0.0,0.0,0.0,0.0,0.0,8.75,1.75,0.0,0.0,16.0,596.75,60.75,0.0,0.0,39.75,321.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,20.75,4329.25,2026.5,1711.75,410.0,146.5,84.75,49.0,38.0,23.75,22.75,22.25,24.75,24.5,31.25,45.0,72.5,130.25,372.75,8496.0,Batik Bali
3,4046.75,3520.0,160.75,4.0,0.0,26.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,82.25,23.25,0.0,699.25,1847.5,188.75,0.0,0.0,107.5,177.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25,26.5,0.0,0.0,1012.25,1988.25,0.0,0.0,0.0,568.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,7102.25,4946.5,1637.5,400.5,252.5,144.75,126.5,103.25,80.0,72.0,3959.25,78.5,78.5,94.75,97.75,129.0,163.0,341.75,8987.25,Batik Bali
4,3316.75,39.5,118.25,30.0,13.5,80.5,42.75,18.75,0.0,1.75,16.25,11.5,0.0,0.0,0.0,0.75,71.25,2.5,0.0,0.0,15.75,138.0,284.5,105.0,1.25,28.5,97.25,164.0,0.0,0.0,3.75,38.75,5.25,0.0,0.0,0.0,53.25,56.75,1.75,0.0,0.0,51.75,388.25,1344.5,0.0,3.5,33.75,111.5,0.0,0.0,0.0,0.0,0.75,6.0,0.0,0.0,1.25,54.25,31.75,28.25,0.0,0.0,45.0,1846.25,497.0,2091.25,736.0,311.0,164.0,101.5,75.5,49.0,43.75,36.25,49.25,48.0,57.25,95.25,132.0,256.25,615.0,3346.25,Batik Bali
5,2906.0,1196.75,1416.25,0.0,0.25,96.25,1400.25,62.25,0.0,0.0,2.0,5.75,0.0,0.0,0.0,0.0,45.5,1.0,2.25,0.0,0.0,32.5,145.75,51.25,0.0,0.0,79.0,380.25,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,28.25,347.25,0.0,0.0,0.0,1502.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.25,1006.0,1462.0,464.5,251.25,159.0,122.25,104.75,81.5,79.75,90.5,86.0,89.0,96.75,130.0,156.0,250.75,496.75,4768.5,Batik Bali
6,8069.5,1997.75,0.0,0.0,1.25,3548.75,147.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,3681.25,2201.5,0.0,0.0,1.0,2853.25,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2481.75,1240.75,0.0,0.0,0.0,834.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,86.25,5785.25,2884.0,500.25,180.0,96.75,45.0,29.25,25.5,21.0,17.75,27.75,25.0,36.0,60.0,91.75,199.5,632.75,16510.25,Batik Bali
7,4494.0,1742.25,74.5,0.0,6.0,1962.75,787.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,14.25,3.5,0.0,11.25,3193.25,1987.75,488.75,0.0,2.25,245.0,70.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,10.5,0.0,0.0,3.25,1276.75,242.75,0.0,0.0,2.25,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,14.5,0.0,0.0,2.5,704.0,2605.25,3013.0,714.0,312.25,157.0,118.5,77.5,58.5,58.0,60.0,54.5,72.0,82.75,90.0,168.25,293.5,745.25,8791.0,Batik Bali
8,7918.5,412.0,11.75,0.0,18.75,126.75,190.0,133.75,0.0,0.0,0.0,26.75,0.0,0.0,0.0,0.0,37.25,2.25,0.0,0.0,20.0,319.0,279.75,242.75,0.0,25.25,88.0,496.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,11.25,0.75,0.0,0.0,9.75,356.25,101.0,0.0,0.0,31.25,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1.0,0.0,0.0,16.0,1516.5,1915.0,2043.0,403.0,170.0,104.0,80.5,53.5,51.75,42.5,43.0,41.25,53.25,51.75,74.0,112.5,192.75,438.25,6775.5,Batik Bali
9,4324.75,464.0,163.25,0.0,7.5,27.75,46.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,95.75,114.75,0.0,288.25,748.0,1296.75,37.25,0.0,12.5,128.0,114.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.25,12.75,65.75,10.5,0.0,79.5,897.75,1007.0,0.0,0.0,47.0,167.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.75,0.0,0.0,33.0,633.75,1133.0,2378.75,677.25,307.75,179.75,109.75,82.0,62.75,57.5,42.25,60.0,53.25,69.25,99.25,149.5,266.5,622.25,4870.0,Batik Bali
