x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,kelas
1737.5,209.0,20.75,0.0,471.75,78.5,77.75,1.25,1.75,1.25,52.0,11.75,0.0,0.0,0.0,0.0,360.75,66.5,1.0,0.0,1602.5,1433.75,230.0,0.75,549.25,936.75,160.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,222.5,4.5,1.25,676.5,1527.0,240.75,17.25,9.75,72.75,28.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83.75,50.5,0.0,10.0,55.5,117.25,58.75,950.5,2927.25,2237.75,1567.5,1272.25,1022.5,899.0,837.5,770.75,762.25,803.5,855.5,908.75,1050.25,1298.25,1709.25,2363.75,4323.5,Batik Bali
940.5,308.5,11.75,14.5,0.0,665.0,678.5,175.0,0.0,0.0,9.5,76.25,0.0,0.0,0.0,0.0,6.5,22.25,0.0,0.0,6.25,828.5,1683.0,31.0,0.0,0.0,733.75,950.25,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,175.25,111.0,0.0,0.0,63.5,541.25,71.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,42.0,0.5,0.0,0.0,0.0,0.5,410.5,1980.25,2084.75,1808.5,1532.0,1309.5,1193.0,1088.0,1076.25,1072.75,1005.0,1125.0,1212.75,1325.0,1521.25,1861.0,2165.0,2517.5,Batik Bali
937.75,4.5,0.0,0.0,3.25,171.5,129.5,0.0,0.0,0.75,57.5,2.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,83.0,1208.75,1297.75,7.0,0.0,286.0,2870.75,772.5,0.0,0.0,2.25,33.75,0.0,0.0,0.0,0.0,161.5,108.25,87.75,0.5,101.0,806.25,1417.5,477.0,0.0,0.5,30.5,348.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,93.0,16.5,4.5,0.0,3.5,7.75,4.5,596.0,2527.0,2326.75,1883.5,1609.5,1338.5,1192.5,1107.0,1136.5,1098.25,1068.25,1188.25,1287.5,1470.5,1757.75,2100.0,2774.0,3804.75,Batik Bali
1598.0,4.75,154.25,4.0,721.5,337.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,1.0,1501.5,275.75,141.25,0.0,1125.0,772.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.5,0.0,0.0,1830.25,648.5,0.0,0.0,510.0,1283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7514.25,3302.25,3595.75,2398.75,1880.25,1606.5,1500.5,1315.0,1217.5,1140.25,2345.25,1159.0,1200.0,1300.0,1526.5,1741.5,2009.25,2574.25,7287.25,Batik Bali
1785.25,441.25,11.5,0.0,0.0,36.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.75,11.25,0.0,1.25,647.75,3188.0,3.5,0.0,0.0,199.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.75,141.5,3.0,0.0,153.75,3057.75,5839.5,0.0,0.0,0.0,586.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.75,290.0,0.0,0.0,45.5,4176.0,3188.75,4462.0,2511.25,1496.25,1106.75,805.25,648.0,575.25,572.0,566.5,571.5,575.0,679.0,779.0,1071.25,1560.0,2488.25,8486.75,Batik Bali
5875.5,1297.5,0.5,0.0,0.0,127.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,892.5,0.0,0.0,6.25,5868.5,345.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.75,440.25,0.0,0.0,2.5,4857.25,372.0,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.25,316.5,0.0,0.0,2.25,6175.25,6285.0,4350.0,1828.25,1144.5,809.75,581.75,510.5,436.0,394.75,393.5,393.5,423.75,501.0,614.0,778.25,1135.75,1879.25,10465.75,Batik Bali
5137.75,2450.75,249.25,190.5,2.25,483.75,944.75,210.25,0.0,0.0,2.25,57.5,0.0,0.0,0.0,0.0,1.5,7.75,0.0,5.75,2.0,208.5,881.5,126.5,0.0,6.25,225.75,329.5,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,1.75,6.25,5.75,0.0,2.25,96.75,218.5,0.0,0.0,16.0,169.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.75,0.0,1.75,15.5,174.75,1385.5,3429.0,2268.0,1570.5,1216.75,1055.25,901.5,751.5,734.5,733.75,757.25,822.0,881.0,999.75,1207.75,1682.5,2521.5,5363.5,Batik Bali
1737.5,209.0,20.75,0.0,471.75,78.5,77.75,1.25,1.75,1.25,52.0,11.75,0.0,0.0,0.0,0.0,360.75,66.5,1.0,0.0,1602.5,1433.75,230.0,0.75,549.25,936.75,160.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,222.5,4.5,1.25,676.5,1527.0,240.75,17.25,9.75,72.75,28.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83.75,50.5,0.0,10.0,55.5,117.25,58.75,950.5,2927.25,2237.75,1567.5,1272.25,1022.5,899.0,837.5,770.75,762.25,803.5,855.5,908.75,1050.25,1298.25,1709.25,2363.75,4323.5,Batik Bali
2178.25,8.75,0.0,0.0,2.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.5,1.75,0.0,0.0,93.0,2598.75,277.5,0.0,0.0,12.75,589.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,969.5,22.25,0.0,0.0,457.5,6103.75,305.5,0.0,0.0,42.0,805.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.5,58.0,0.0,0.0,196.0,8576.25,4298.5,4577.75,2234.0,1405.5,1063.25,863.5,707.25,592.25,568.0,640.5,582.25,627.25,704.5,810.75,1069.75,1449.75,2370.75,10616.75,Batik Bali
2699.5,4448.5,84.25,0.0,2.5,611.25,462.25,0.25,0.0,0.0,1.5,0.75,0.0,0.0,0.0,0.0,2.25,26.75,61.75,61.75,29.0,1029.25,2279.5,1.5,0.0,39.25,956.25,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,323.25,334.0,261.25,0.0,0.0,0.5,54.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.5,0.5,0.0,4.25,1.25,18.0,1559.25,2999.25,1863.75,1488.0,1276.25,1091.75,974.25,923.25,946.25,939.75,944.5,961.5,1003.0,1133.25,1331.0,1539.25,2085.5,4969.5,Batik Bali
