Id,housing_median_age,total_rooms,total_bedrooms
401,41.0,880.0,129.0
402,21.0,7099.0,1106.0
403,52.0,1467.0,190.0
404,52.0,1274.0,235.0
405,52.0,1627.0,280.0
406,52.0,919.0,213.0
407,52.0,2535.0,489.0
408,52.0,3104.0,687.0
409,42.0,2555.0,665.0
410,,3549.0,707.0
411,52.0,2202.0,434.0
412,52.0,3503.0,752.0
413,52.0,2491.0,474.0
414,52.0,696.0,191.0
415,52.0,2643.0,626.0
416,,1120.0,283.0
417,52.0,1966.0,347.0
418,52.0,1228.0,293.0
419,50.0,2239.0,455.0
420,52.0,1503.0,298.0
421,40.0,751.0,184.0
422,42.0,1639.0,367.0
423,52.0,2436.0,541.0
424,52.0,1688.0,337.0
425,52.0,2224.0,437.0
426,41.0,535.0,123.0
427,49.0,1130.0,244.0
428,52.0,1898.0,421.0
429,50.0,2082.0,492.0
430,52.0,729.0,160.0
431,49.0,1916.0,447.0
432,52.0,2153.0,481.0
433,48.0,1922.0,409.0
434,49.0,1655.0,366.0
435,51.0,2665.0,574.0
436,49.0,1215.0,282.0
437,48.0,1798.0,432.0
438,52.0,1511.0,390.0
439,52.0,1470.0,330.0
440,52.0,2432.0,715.0
441,52.0,1665.0,419.0
442,51.0,936.0,311.0
443,49.0,713.0,202.0
444,52.0,950.0,202.0
445,52.0,1443.0,311.0
446,52.0,1656.0,420.0
447,50.0,1125.0,322.0
448,43.0,1007.0,312.0
449,40.0,624.0,195.0
450,40.0,946.0,375.0
451,21.0,896.0,453.0
452,43.0,1868.0,456.0
453,41.0,3221.0,853.0
454,52.0,1630.0,456.0
455,52.0,1170.0,235.0
456,52.0,945.0,243.0
457,52.0,1238.0,288.0
458,52.0,1489.0,335.0
459,52.0,1387.0,341.0
460,2.0,158.0,43.0
461,52.0,1121.0,211.0
462,49.0,135.0,29.0
463,50.0,760.0,190.0
464,,,237.0
465,48.0,828.0,182.0
466,52.0,1010.0,209.0
467,48.0,1455.0,354.0
468,52.0,1027.0,244.0
469,52.0,572.0,109.0
470,46.0,2801.0,644.0
471,26.0,768.0,152.0
472,46.0,935.0,297.0
473,49.0,844.0,204.0
474,46.0,12.0,4.0
475,20.0,835.0,161.0
476,17.0,1237.0,462.0
477,36.0,2914.0,562.0
478,19.0,1207.0,243.0
479,23.0,1745.0,374.0
480,38.0,684.0,176.0
481,17.0,924.0,289.0
482,52.0,210.0,56.0
483,52.0,340.0,97.0
484,52.0,386.0,164.0
485,35.0,948.0,184.0
486,52.0,773.0,143.0
487,40.0,880.0,451.0
488,10.0,875.0,348.0
489,10.0,105.0,42.0
490,52.0,249.0,78.0
491,16.0,994.0,392.0
492,52.0,,87.0
493,52.0,96.0,31.0
494,27.0,1055.0,347.0
495,39.0,1715.0,623.0
496,36.0,5329.0,2477.0
497,31.0,4596.0,1331.0
498,29.0,335.0,107.0
499,22.0,3682.0,1270.0
500,37.0,3633.0,1085.0
501,29.0,4656.0,1414.0
502,28.0,5806.0,1603.0
503,39.0,854.0,242.0
504,52.0,2155.0,701.0
505,34.0,5871.0,1914.0
506,52.0,1509.0,225.0
507,52.0,2026.0,482.0
508,52.0,1758.0,460.0
509,52.0,3481.0,751.0
510,,3337.0,855.0
511,52.0,1424.0,289.0
512,32.0,3809.0,1098.0
513,26.0,3959.0,1196.0
514,52.0,,559.0
515,35.0,1613.0,428.0
516,52.0,1279.0,287.0
517,28.0,5022.0,1750.0
518,52.0,4190.0,1105.0
519,50.0,2515.0,399.0
520,47.0,3175.0,454.0
521,41.0,,406.0
522,37.0,334.0,54.0
523,52.0,2800.0,411.0
524,52.0,3529.0,574.0
525,52.0,2612.0,365.0
526,28.0,5287.0,
527,50.0,2935.0,473.0
528,44.0,3424.0,597.0
529,40.0,4991.0,674.0
530,30.0,2211.0,346.0
531,34.0,3038.0,490.0
532,18.0,1617.0,210.0
533,35.0,2865.0,460.0
534,34.0,5065.0,788.0
535,28.0,1326.0,184.0
536,26.0,1589.0,223.0
537,29.0,1791.0,271.0
538,32.0,1835.0,264.0
539,37.0,1229.0,181.0
540,39.0,3770.0,534.0
541,30.0,292.0,38.0
542,52.0,2375.0,333.0
543,45.0,2964.0,436.0
544,50.0,2833.0,605.0
545,38.0,2254.0,535.0
546,52.0,1389.0,212.0
547,52.0,1971.0,335.0
548,52.0,2183.0,465.0
549,52.0,2286.0,464.0
550,52.0,2721.0,541.0
551,52.0,2024.0,339.0
552,52.0,,536.0
553,52.0,2033.0,486.0
554,52.0,1433.0,229.0
555,52.0,2927.0,402.0
556,52.0,2315.0,292.0
557,52.0,2485.0,313.0
558,52.0,1490.0,238.0
559,52.0,2814.0,365.0
560,52.0,2093.0,550.0
561,52.0,888.0,168.0
562,52.0,2087.0,510.0
563,52.0,2513.0,502.0
564,46.0,3232.0,835.0
565,42.0,4120.0,1065.0
566,43.0,2364.0,792.0
567,41.0,1471.0,469.0
568,29.0,2468.0,864.0
569,27.0,1632.0,492.0
570,45.0,1786.0,526.0
571,50.0,629.0,188.0
572,52.0,1339.0,391.0
573,36.0,1678.0,606.0
574,43.0,2344.0,647.0
575,52.0,,228.0
576,52.0,1591.0,373.0
577,52.0,1586.0,398.0
578,47.0,2046.0,588.0
579,52.0,1192.0,289.0
580,52.0,1803.0,420.0
581,49.0,2838.0,749.0
582,52.0,783.0,184.0
583,51.0,1590.0,414.0
584,50.0,1746.0,480.0
585,52.0,1252.0,299.0
586,43.0,5963.0,1344.0
587,52.0,1783.0,395.0
588,30.0,999.0,264.0
589,39.0,1469.0,431.0
590,47.0,1372.0,395.0
591,52.0,674.0,180.0
592,43.0,1626.0,
593,51.0,175.0,43.0
594,39.0,461.0,129.0
595,52.0,902.0,237.0
596,20.0,2373.0,779.0
597,52.0,391.0,128.0
598,52.0,1137.0,301.0
599,52.0,769.0,206.0
600,52.0,472.0,146.0
601,52.0,862.0,215.0
602,50.0,1920.0,530.0
