Id,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep
2161001,female,group B,bachelor's degree,standard,none
2161002,female,group C,some college,standard,completed
2161003,female,group B,master's degree,standard,none
2161004,male,group A,associate's degree,free/reduced,none
2161005,male,group C,some college,standard,none
2161006,female,group B,associate's degree,standard,none
2161007,female,group B,some college,standard,completed
2161008,male,group B,some college,free/reduced,none
2161009,male,group D,high school,free/reduced,completed
2161010,female,group B,high school,free/reduced,none
2161011,male,group C,associate's degree,standard,none
2161012,male,group D,associate's degree,standard,none
2161013,female,group B,high school,standard,none
2161014,male,group A,some college,standard,completed
2161015,female,group A,master's degree,standard,none
2161016,female,group C,some high school,standard,none
2161017,male,group C,high school,standard,none
2161018,female,group B,some high school,free/reduced,none
2161019,male,group C,master's degree,free/reduced,completed
2161020,female,group C,associate's degree,free/reduced,none
2161021,male,group D,high school,standard,none
2161022,female,group B,some college,free/reduced,completed
2161023,male,group D,some college,standard,none
2161024,female,group C,some high school,standard,none
2161025,male,group D,bachelor's degree,free/reduced,completed
2161026,male,group A,master's degree,free/reduced,none
2161027,male,group B,some college,standard,none
2161028,female,group C,bachelor's degree,standard,none
2161029,male,group C,high school,standard,none
2161030,female,group D,master's degree,standard,none
2161031,female,group D,some college,standard,none
2161032,female,group B,some college,standard,none
2161033,female,group E,master's degree,free/reduced,none
2161034,male,group D,some college,standard,none
2161035,male,group E,some college,standard,none
2161036,male,group E,associate's degree,standard,completed
2161037,female,group D,associate's degree,standard,none
2161038,female,group D,some high school,free/reduced,none
2161039,female,group D,associate's degree,free/reduced,completed
2161040,male,group B,associate's degree,free/reduced,none
2161041,male,group C,associate's degree,free/reduced,none
2161042,female,group C,associate's degree,standard,none
2161043,female,group B,associate's degree,standard,none
2161044,male,group B,some college,free/reduced,completed
2161045,female,group E,associate's degree,free/reduced,none
2161046,male,group B,associate's degree,standard,none
2161047,female,group A,associate's degree,standard,completed
2161048,female,group C,high school,standard,none
2161049,female,group D,associate's degree,free/reduced,completed
2161050,male,group C,high school,standard,completed
2161051,male,group E,some college,standard,none
2161052,male,group E,associate's degree,free/reduced,completed
2161053,male,group C,some college,standard,none
2161054,male,group D,high school,standard,none
2161055,female,group C,some high school,free/reduced,completed
2161056,female,group C,high school,free/reduced,none
2161057,female,group E,associate's degree,standard,completed
2161058,male,group D,associate's degree,standard,none
2161059,male,group D,some college,standard,completed
2161060,female,group C,some high school,free/reduced,none
2161061,male,group E,bachelor's degree,free/reduced,completed
2161062,male,group A,some high school,free/reduced,none
2161063,male,group A,associate's degree,free/reduced,none
2161064,female,group C,associate's degree,standard,none
