Sample ID,pH,Temperature (°C),Turbidity (NTU)
1,7.25,23.1,4.5
2,7.11,22.3,5.1
3,7.03,21.5,3.9
4,7.38,22.9,3.2
5,7.45,20.7,3.8
6,6.89,23.6,4.6
7,7.19,21.2,4.2
8,6.98,22.1,3.7
9,7.31,20.4,4.1
10,7.02,22.7,4.8
11,7.24,22.4,4.3
12,7.17,21.6,3.6
13,6.95,22.3,4.1
14,7.06,23.5,3.7
15,7.48,20.8,3.4
16,6.92,21.4,4.9
17,7.11,22.0,4.4
18,7.3,23.2,3.5
19,7.13,21.1,4.0
20,7.01,23.0,4.7
21,6.83,22.5,3.3
22,7.34,20.3,4.2
23,7.16,23.4,4.5
24,7.25,22.6,3.9
25,7.39,21.9,4.1
26,7.02,22.2,4.6
27,7.27,21.8,3.7
28,7.09,23.3,5.0
29,7.15,20.6,4.4
30,7.07,22.8,3.8
31,7.22,22.5,4.3
32,6.92,21.7,4.7
33,7.13,23.1,3.6
34,7.31,20.9,4.0
35,7.03,22.6,4.9
36,7.21,21.8,3.8
37,7.13,22.5,4.2
38,7.09,23.1,4.4
39,7.35,21.6,3.9
40,7.02,22.0,3.2
41,7.28,23.5,3.7
42,7.14,20.9,4.3
43,6.96,22.9,4.8
44,7.24,22.7,4.1
45,7.37,21.5,4.5
46,7.08,23.3,3.6
47,7.16,21.1,4.4
48,7.03,22.4,4.0
49,7.32,23.2,4.5
50,7.19,20.8,3.9
51,7.12,22.1,4.6
52,7.26,22.2,3.3
53,7.04,21.6,3.8
54,7.41,23.0,4.2
55,7.08,21.7,4.1
56,7.25,22.8,3.5
57,7.17,20.6,4.7
58,7.01,23.4,3.6
59,6.9,22.5,4.2
60,7.29,21.9,4.8
61,7.19,23.1,3.9
62,7.01,21.3,4.3
63,7.15,22.6,4.5
64,7.12,22.0,3.7
65,6.94,23.2,4.0
66,7.36,22.4,4.5
67,7.02,20.7,3.8
68,7.26,23.5,4.6
69,7.08,21.4,3.3
70,7.14,22.9,4.4
71,7.31,21.2,3.6
72,7.03,23.0,4.8
73,7.18,22.5,3.5
74,7.24,20.9,4.6
75,7.14,22.8,4.2
76,7.06,22.1,3.9
77,7.29,23.3,3.4
78,7.12,21.7,4.7
79,7.01,22.6,3.2
80,7.35,22.1,4.5
81,7.04,23.1,4.0
82,7.16,21.3,3.8
83,7.22,22.3,4.3
84,7.13,20.7,4.1
85,7.25,23.0,3.9
86,7.09,22.2,4.4
87,7.19,21.1,3.3
88,7.08,22.7,4.6
89,7.37,22.4,3.7
90,7.12,21.8,4.5
91,7.27,23.4,4.2
92,7.04,21.5,4.8
93,7.15,23.1,4.4
94,7.21,22.5,3.6
95,6.98,21.9,4.0
96,7.34,23.2,4.6
97,7.02,21.0,3.9
98,7.26,22.8,3.2
99,7.09,23.0,4.3
100,7.13,21.6,4.7
101,7.16,22.2,3.3
102,7.21,21.4,4.2
103,7.32,23.3,4.1
104,7.05,20.9,3.7
105,7.13,22.5,4.3
106,7.25,21.9,3.5
107,7.08,23.1,4.5
108,7.19,22.0,4.7
109,7.01,20.8,3.6
110,7.33,22.4,4.8
111,7.07,23.2,3.5
112,7.17,21.6,4.5
113,7.23,22.9,3.6
114,7.14,20.5,4.4
115,7.26,23.4,3.3
116,7.09,22.1,4.1
117,7.2,21.3,4.4
118,7.05,22.7,4.7
119,7.38,21.5,3.9
120,7.11,22.6,4.2
121,7.28,20.7,3.8
122,7.03,23.3,4.3
123,7.15,21.2,3.4
124,7.21,22.4,4.6
125,7.12,23.0,3.1
126,7.0,22.3,4.5
127,7.34,21.1,3.7
128,7.02,22.9,4.1
129,7.24,21.8,4.4
130,7.1,23.4,4.8
131,7.16,20.4,3.8
132,7.29,22.3,4.2
133,7.01,21.6,4.3
134,7.18,23.1,3.7
135,7.13,21.3,4.5
136,7.24,22.5,3.9
137,7.05,20.8,4.6
138,7.2,23.4,4.1
139,7.1,22.6,3.8
140,7.33,21.2,4.4
141,7.07,23.0,3.4
142,7.21,21.7,4.5
143,7.23,22.1,3.6
144,7.16,20.6,4.2
145,7.28,23.3,3.4
146,7.09,21.9,4.8
147,7.22,20.5,4.6
148,7.04,22.8,3.5
149,7.35,21.4,3.9
150,7.08,22.2,4.3
151,7.26,21.0,3.8
152,7.03,23.2,4.1
153,7.15,21.1,4.7
154,7.19,22.5,3.1
155,7.11,22.9,4.4
156,7.01,20.9,4.8
157,7.31,21.6,3.6
158,7.02,22.2,4.5
159,7.25,21.8,4.2
160,7.12,23.5,4.6
161,7.17,21.4,3.9
162,7.29,20.8,4.7
163,7.01,22.3,4.5
164,7.18,23.0,4.1
165,7.14,20.5,3.6
166,7.25,21.3,4.4
167,7.05,22.6,3.9
168,7.2,21.2,4.6
169,7.1,22.9,3.7
170,7.33,23.4,4.5
171,7.07,20.6,3.5
172,7.21,22.1,4.2
173,7.23,23.3,4.6
174,7.16,21.8,4.0
175,7.28,20.9,4.3
176,7.09,22.2,3.7
177,7.22,23.1,4.4
178,7.04,20.8,4.1
179,7.35,22.5,3.8
180,7.08,21.7,4.6
181,7.26,23.0,3.9
182,7.03,20.7,4.4
183,7.15,22.1,3.8
184,7.19,23.2,4.3
185,7.11,21.3,4.5
186,7.01,22.0,3.6
187,7.31,21.5,4.7
188,7.02,23.1,4.1
189,7.25,20.7,4.6
190,7.12,22.4,3.5
191,7.09,21.9,4.2
192,7.16,22.5,3.9
193,7.2,21.7,4.1
194,7.08,23.5,3.8
195,7.32,20.5,4.2
196,7.14,21.2,4.3
197,7.05,22.8,3.6
198,7.25,23.2,4.4
199,7.19,21.6,4.6
200,7.1,22.7,3.5
201,7.16,21.8,4.2
202,7.29,23.1,3.8
203,7.01,21.3,4.3
204,7.18,22.2,3.9
205,7.14,23.4,4.7
206,7.25,20.6,4.5
207,7.05,22.5,3.7
208,7.2,21.9,4.6
209,7.1,23.0,4.1
210,7.33,20.9,4.4
211,7.07,22.1,3.8
212,7.21,23.3,4.3
213,7.23,20.8,4.2
214,7.16,22.6,3.6
215,7.28,21.2,4.5
216,7.09,22.9,3.9
217,7.22,20.5,4.6
218,7.04,23.0,3.7
219,7.35,21.6,4.4
220,7.08,22.3,3.8
221,7.26,23.2,4.3
222,7.03,21.1,4.2
223,7.15,22.7,3.9
224,7.19,21.4,4.5
225,7.11,23.5,3.6
226,7.01,20.7,4.7
227,7.31,22.4,4.4
228,7.02,23.0,3.8
229,7.25,21.8,4.6
230,7.12,22.3,4.1
231,7.16,20.8,3.9
232,7.29,22.7,4.5
233,7.01,21.4,4.2
234,7.18,23.2,3.6
235,7.14,20.9,4.4
236,7.25,22.6,3.8
237,7.05,21.1,4.7
238,7.2,23.4,4.3
239,7.1,21.9,3.9
240,7.33,22.5,4.6
241,7.07,23.3,3.8
242,7.21,20.8,4.5
243,7.23,22.3,4.1
244,7.16,21.6,4.4
245,7.28,23.1,3.7
246,7.09,20.4,4.6
247,7.22,22.0,4.3
248,7.04,23.2,3.9
249,7.35,21.5,4.7
250,7.08,22.6,3.8
251,7.26,21.3,4.5
252,7.03,22.2,4.2
253,7.15,23.0,3.6
254,7.19,20.6,4.4
255,7.11,22.5,3.9
256,7.01,21.2,4.6
257,7.31,23.3,4.1
258,7.02,20.9,4.5
259,7.25,22.8,3.8
260,7.12,21.4,4.3
261,7.16,22.1,3.9
262,7.29,20.8,4.6
263,7.01,22.3,4.3
264,7.18,23.0,3.7
265,7.14,20.5,4.5
266,7.25,21.3,4.2
267,7.05,22.6,3.8
268,7.2,21.2,4.7
269,7.1,22.9,3.9
270,7.33,23.4,4.6
271,7.07,20.6,3.8
272,7.21,22.1,4.5
273,7.23,23.3,4.2
274,7.16,20.8,4.3
275,7.28,23.0,3.6
276,7.09,21.9,4.5
277,7.22,20.5,4.4
278,7.04,22.8,3.7
279,7.35,21.4,4.6
280,7.08,22.2,3.9
281,7.26,21.0,4.5
282,7.03,23.2,4.2
283,7.15,21.1,4.1
284,7.19,22.5,4.3
285,7.11,22.9,3.8
286,7.01,20.9,4.6
287,7.31,21.6,3.9
288,7.02,22.2,4.4
289,7.25,21.8,4.1
290,7.12,23.5,4.5
291,7.16,21.3,4.0
292,7.29,22.4,4.7
293,7.01,21.0,4.5
294,7.18,23.2,3.9
295,7.14,20.9,4.4
296,7.25,22.5,3.8
297,7.05,21.1,4.3
298,7.2,22.9,4.6
299,7.1,21.8,3.9
300,7.33,23.1,4.5
301,7.07,20.7,3.8
302,7.21,22.6,4.5
303,7.23,21.2,4.2
304,7.16,23.0,3.6
305,7.28,20.8,4.5
306,7.09,22.3,3.9
307,7.22,23.2,4.3
308,7.04,20.6,4.4
309,7.35,22.1,3.7
310,7.08,23.4,4.6
311,7.26,21.3,3.9
312,7.03,22.0,4.2
313,7.15,23.1,3.6
314,7.19,21.4,4.3
315,7.11,22.7,4.5
316,7.01,20.8,4.6
317,7.31,22.5,3.8
318,7.02,21.2,4.7
319,7.25,23.0,3.9
320,7.12,20.9,4.4
321,7.16,21.7,4.1
322,7.29,22.8,4.8
323,7.01,21.4,4.6
324,7.18,23.1,4.0
325,7.14,20.7,4.4
326,7.25,22.3,3.8
327,7.05,21.0,4.3
328,7.2,22.9,4.7
329,7.1,21.8,4.0
330,7.33,23.2,4.6
331,7.07,20.8,3.8
332,7.21,22.4,4.5
333,7.23,21.2,4.2
334,7.16,23.0,3.6
335,7.28,20.9,4.5
336,7.09,22.5,3.9
337,7.22,23.3,4.3
338,7.04,20.7,4.4
339,7.35,22.6,3.7
340,7.08,21.3,4.6
341,7.26,23.1,3.9
342,7.03,22.0,4.2
343,7.15,23.2,3.6
344,7.19,21.4,4.3
345,7.11,22.7,4.5
346,7.01,20.8,4.6
347,7.31,22.5,3.8
348,7.02,21.2,4.7
349,7.25,23.0,3.9
350,7.12,20.9,4.4
351,7.16,21.7,4.1
352,7.29,22.8,4.8
353,7.01,21.4,4.6
354,7.18,23.1,4.0
355,7.14,20.7,4.4
356,7.25,22.3,3.8
357,7.05,21.0,4.3
358,7.2,22.9,4.7
359,7.1,21.8,4.0
360,7.33,23.2,4.6
361,7.07,20.8,3.8
362,7.21,22.4,4.5
363,7.23,21.2,4.2
364,7.16,23.0,3.6
365,7.28,20.9,4.5
366,7.09,22.5,3.9
367,7.22,23.3,4.3
368,7.04,20.7,4.4
369,7.35,22.6,3.7
370,7.08,21.3,4.6
371,7.26,23.1,3.9
372,7.03,22.0,4.2
373,7.15,23.2,3.6
374,7.19,21.4,4.3
375,7.11,22.7,4.5
376,7.01,20.8,4.6
377,7.31,22.5,3.8
378,7.02,21.2,4.7
379,7.25,23.0,3.9
380,7.12,20.9,4.4
381,7.16,21.7,4.1
382,7.29,22.8,4.8
383,7.01,21.4,4.6
384,7.18,23.1,4.0
385,7.14,20.7,4.4
386,7.25,22.3,3.8
387,7.05,21.0,4.3
388,7.2,22.9,4.7
389,7.1,21.8,4.0
390,7.33,23.2,4.6
391,7.07,20.8,3.8
392,7.21,22.4,4.5
393,7.23,21.2,4.2
394,7.16,23.0,3.6
395,7.28,20.9,4.5
396,7.09,22.5,3.9
397,7.22,23.3,4.3
398,7.04,20.7,4.4
399,7.35,22.6,3.7
400,7.08,21.3,4.6
401,7.26,23.1,3.9
402,7.03,22.0,4.2
403,7.15,23.2,3.6
404,7.19,21.4,4.3
405,7.11,22.7,4.5
406,7.01,20.8,4.6
407,7.31,22.5,3.8
408,7.02,21.2,4.7
409,7.25,23.0,3.9
410,7.12,20.9,4.4
411,7.16,21.7,4.1
412,7.29,22.8,4.8
413,7.01,21.4,4.6
414,7.18,23.1,4.0
415,7.14,20.7,4.4
416,7.25,22.3,3.8
417,7.05,21.0,4.3
418,7.2,22.9,4.7
419,7.1,21.8,4.0
420,7.33,23.2,4.6
421,7.07,20.8,3.8
422,7.21,22.4,4.5
423,7.23,21.2,4.2
424,7.16,23.0,3.6
425,7.28,20.9,4.5
426,7.09,22.5,3.9
427,7.22,23.3,4.3
428,7.04,20.7,4.4
429,7.35,22.6,3.7
430,7.08,21.3,4.6
431,7.26,23.1,3.9
432,7.03,22.0,4.2
433,7.15,23.2,3.6
434,7.19,21.4,4.3
435,7.11,22.7,4.5
436,7.01,20.8,4.6
437,7.31,22.5,3.8
438,7.02,21.2,4.7
439,7.25,23.0,3.9
440,7.12,20.9,4.4
441,7.16,21.7,4.1
442,7.29,22.8,4.8
443,7.01,21.4,4.6
444,7.18,23.1,4.0
445,7.14,20.7,4.4
446,7.25,22.3,3.8
447,7.05,21.0,4.3
448,7.2,22.9,4.7
449,7.1,21.8,4.0
450,7.33,23.2,4.6
451,7.07,20.8,3.8
452,7.21,22.4,4.5
453,7.23,21.2,4.2
454,7.16,23.0,3.6
455,7.28,20.9,4.5
456,7.09,22.5,3.9
457,7.22,23.3,4.3
458,7.04,20.7,4.4
459,7.35,22.6,3.7
460,7.08,21.3,4.6
461,7.26,23.1,3.9
462,7.03,22.0,4.2
463,7.15,23.2,3.6
464,7.19,21.4,4.3
465,7.11,22.7,4.5
466,7.01,20.8,4.6
467,7.31,22.5,3.8
468,7.02,21.2,4.7
469,7.25,23.0,3.9
470,7.12,20.9,4.4
471,7.16,21.7,4.1
472,7.29,22.8,4.8
473,7.01,21.4,4.6
474,7.18,23.1,4.0
475,7.14,20.7,4.4
476,7.25,22.3,3.8
477,7.05,21.0,4.3
478,7.2,22.9,4.7
479,7.1,21.8,4.0
