Unnamed: 0,Hindi,English,Science,Geograpgy,History,Maths
0,65,10,59,,,
1,94,56,4,,,
2,7,85,76,,,
3,88,46,59,,,
4,39,81,37,,,
5,51,43,14,,,
6,73,48,6,,,
7,18,23,97,,,
8,15,64,14,,,
9,53,85,96,,,
10,61,17,16,,,
11,49,10,81,,,
12,21,24,83,,,
13,93,57,6,,,
14,44,6,72,,,
15,52,55,39,,,
16,16,7,47,,,
17,93,86,36,,,
18,88,72,43,,,
19,38,46,55,,,
20,87,47,31,,,
21,77,5,95,,,
22,6,44,8,,,
23,16,78,56,,,
24,83,86,42,,,
25,51,75,8,,,
26,72,30,11,,,
27,1,16,93,,,
28,8,7,60,,,
29,93,41,42,,,
30,73,67,41,,,
31,57,1,48,,,
32,22,51,9,,,
33,29,32,66,,,
34,91,75,94,,,
35,29,29,83,,,
36,84,67,78,,,
37,66,87,33,,,
38,29,75,50,,,
39,31,35,90,,,
40,10,80,8,,,
41,72,94,21,,,
42,66,87,16,,,
43,55,15,24,,,
44,30,41,40,,,
45,33,13,30,,,
46,61,76,62,,,
47,96,69,25,,,
48,5,33,98,,,
49,16,40,31,,,
50,44,97,54,,,
51,94,73,93,,,
52,36,90,8,,,
53,14,82,97,,,
54,83,33,74,,,
55,4,53,69,,,
56,78,81,96,,,
57,23,11,48,,,
58,96,53,60,,,
59,17,26,8,,,
60,50,66,41,,,
61,84,41,40,,,
62,50,86,18,,,
63,18,90,17,,,
64,23,43,40,,,
65,27,92,28,,,
66,21,66,72,,,
67,80,37,9,,,
68,4,78,2,,,
69,80,29,73,,,
70,37,62,23,,,
71,71,67,43,,,
72,76,82,23,,,
73,73,23,82,,,
74,75,93,14,,,
75,98,45,93,,,
76,74,82,12,,,
77,54,60,59,,,
78,59,46,45,,,
79,78,48,5,,,
80,97,42,21,,,
81,77,87,4,,,
82,53,72,73,,,
83,52,33,22,,,
84,53,70,7,,,
85,58,66,92,,,
86,92,10,52,,,
87,64,84,76,,,
88,23,36,24,,,
89,63,68,8,,,
90,76,17,57,,,
91,54,93,21,,,
92,76,96,35,,,
93,68,26,95,,,
94,5,56,54,,,
95,82,39,28,,,
96,68,40,71,,,
97,28,98,47,,,
98,78,83,41,,,
99,33,80,69,,,
100,95,27,73,,,
101,65,35,61,,,
102,96,13,99,,,
103,87,65,96,,,
104,7,20,27,,,
105,97,79,22,,,
106,15,4,18,,,
107,44,71,73,,,
108,57,60,7,,,
109,55,19,23,,,
110,13,20,82,,,
111,52,82,79,,,
112,61,53,90,,,
113,76,76,94,,,
114,38,25,10,,,
115,84,22,5,,,
116,47,83,64,,,
117,48,74,50,,,
118,75,90,15,,,
119,69,46,76,,,
120,90,32,66,,,
121,27,75,10,,,
122,12,60,0,,,
123,5,36,23,,,
124,45,32,37,,,
125,79,1,82,,,
126,62,7,86,,,
127,60,74,20,,,
128,12,4,3,,,
129,15,97,41,,,
130,55,48,79,,,
131,45,5,92,,,
132,92,9,3,,,
133,2,81,55,,,
134,65,62,29,,,
135,31,65,74,,,
136,64,35,90,,,
137,43,81,44,,,
138,63,20,38,,,
139,79,56,57,,,
140,24,17,63,,,
141,51,2,17,,,
142,71,43,8,,,
143,13,19,29,,,
144,22,68,91,,,
145,32,24,94,,,
146,51,86,84,,,
147,4,30,79,,,
148,19,35,52,,,
149,87,96,61,,,
150,53,87,47,,,
151,82,62,96,,,
152,83,52,68,,,
153,62,96,48,,,
154,86,37,38,,,
155,95,13,19,,,
156,12,14,87,,,
157,81,75,72,,,
158,13,91,43,,,
159,85,91,13,,,
160,51,28,82,,,
161,73,1,75,,,
162,72,22,48,,,
163,7,83,75,,,
164,90,64,33,,,
165,54,57,21,,,
166,31,44,7,,,
167,44,33,24,,,
168,3,59,71,,,
169,8,82,39,,,
170,42,96,58,,,
171,66,8,32,,,
172,3,7,71,,,
173,3,54,42,,,
174,49,86,89,,,
175,28,23,95,,,
176,39,54,96,,,
177,94,44,87,,,
178,44,53,3,,,
179,33,18,42,,,
180,61,51,40,,,
181,20,98,52,,,
182,17,21,27,,,
183,76,48,10,,,
184,55,10,0,,,
185,87,41,16,,,
186,31,91,69,,,
187,89,7,69,,,
188,87,35,12,,,
189,65,91,29,,,
190,50,52,41,,,
191,91,57,79,,,
192,81,39,99,,,
193,43,31,5,,,
194,40,36,41,,,
195,86,76,32,,,
196,60,43,62,,,
197,12,59,84,,,
198,13,44,34,,,
199,98,11,93,,,
200,40,41,71,,,
201,72,19,57,,,
202,97,29,47,,,
203,61,31,46,,,
204,37,87,51,,,
205,33,15,33,,,
206,78,58,82,,,
207,7,27,65,,,
208,58,12,82,,,
209,98,16,48,,,
210,76,98,13,,,
211,36,0,17,,,
212,76,50,96,,,
213,39,21,13,,,
214,56,20,57,,,
215,50,13,42,,,
216,86,94,2,,,
217,8,25,24,,,
218,72,51,31,,,
219,91,87,25,,,
220,69,34,73,,,
221,70,76,10,,,
222,83,42,53,,,
223,93,26,99,,,
224,8,81,76,,,
225,21,35,26,,,
226,91,64,15,,,
227,80,34,97,,,
228,49,55,14,,,
229,93,49,91,,,
230,7,49,11,,,
231,36,90,25,,,
232,40,58,96,,,
233,12,5,53,,,
234,73,11,62,,,
235,59,37,94,,,
236,36,88,83,,,
237,53,61,70,,,
238,59,15,80,,,
239,73,34,58,,,
240,56,79,78,,,
241,89,48,7,,,
242,96,93,89,,,
243,3,35,38,,,
244,14,41,43,,,
245,99,68,50,,,
246,40,74,29,,,
247,89,70,13,,,
248,48,9,29,,,
249,17,14,36,,,
250,10,48,32,,,
251,77,99,78,,,
252,50,64,33,,,
253,7,83,15,,,
254,17,22,72,,,
255,62,56,51,,,
256,60,8,60,,,
257,46,97,6,,,
258,25,76,73,,,
259,84,0,59,,,
260,0,31,68,,,
261,40,88,85,,,
262,45,77,44,,,
263,69,66,6,,,
264,68,55,29,,,
265,26,76,37,,,
266,89,39,41,,,
267,78,72,71,,,
268,22,96,30,,,
269,48,48,96,,,
270,37,63,55,,,
271,1,51,46,,,
272,78,67,3,,,
273,39,6,44,,,
274,21,8,35,,,
275,44,14,6,,,
276,44,5,81,,,
277,65,64,73,,,
278,68,34,55,,,
279,27,72,51,,,
280,92,85,34,,,
281,42,81,33,,,
282,64,42,36,,,
283,58,16,41,,,
284,6,67,28,,,
285,50,79,60,,,
286,39,19,65,,,
287,70,52,75,,,
288,70,59,35,,,
289,4,97,33,,,
290,27,53,14,,,
291,71,64,28,,,
292,4,8,82,,,
293,64,20,34,,,
294,60,19,3,,,
295,21,36,36,,,
296,19,39,55,,,
297,78,61,25,,,
298,73,41,83,,,
299,7,20,1,,,
300,86,35,66,,,
301,51,8,43,,,
302,60,94,36,,,
303,94,67,32,,,
304,36,58,96,,,
305,7,93,47,,,
306,73,85,52,,,
307,96,60,96,,,
308,1,49,67,,,
309,99,33,32,,,
310,76,38,30,,,
311,3,67,81,,,
312,49,84,28,,,
313,88,10,61,,,
314,82,8,87,,,
315,24,26,86,,,
316,59,93,31,,,
317,94,94,30,,,
318,97,49,84,,,
319,20,18,42,,,
