Id,aluminium,ammonia,arsenic,barium
401,1.65,9.08,0.04,2.85
402,2.32,21.16,0.01,3.31
403,1.01,14.02,0.04,0.58
404,1.36,11.33,0.04,2.96
405,0.92,24.33,0.03,0.2
406,0.94,14.47,0.03,2.88
407,2.36,5.6,0.01,1.35
408,3.93,19.87,0.04,0.66
409,0.6,24.58,0.01,0.71
410,0.22,16.76,0.02,1.37
411,3.27,3.6,0.001,2.69
412,1.35,21.96,0.04,0.84
413,1.88,19.26,0.02,2.78
414,4.93,23.98,0.04,3.05
415,2.89,18.82,0.05,3.77
416,0.61,2.41,0.03,0.59
417,3.47,15.84,0.02,0.06
418,2.11,17.03,0.02,0.88
419,4.88,26.94,0.02,0.36
420,4.12,17.99,0.02,3.43
421,0.68,18.99,0.001,0.04
422,1.15,8.12,0.02,0.97
423,0.27,10.67,0.02,0.55
424,4.32,20.64,0.03,2.6
425,2.36,27.05,0.01,0.68
426,3.31,22.07,0.03,0.46
427,1.82,6.81,0.01,0.85
428,3.42,2.4,0.001,2.8
429,4.41,15.14,0.03,1.76
430,4.57,25.84,0.01,3.04
431,1.69,22.8,0.001,2.01
432,1.87,6.1,0.05,3.74
433,2.71,26.19,0.04,3.02
434,1.63,15.75,0.03,2.54
435,0.01,29.29,0.001,2.93
436,4.49,4.07,0.05,1.87
437,3.52,23.19,0.03,2.69
438,4.35,26.85,0.02,0.88
439,2.51,13.08,0.04,1.58
440,2.34,19.9,0.03,2.67
441,1.71,9.49,0.05,3.63
442,3.45,22.32,0.01,0.55
443,3.37,1.07,0.04,1.86
444,3.13,28.19,0.001,0.25
445,0.29,13.74,0.02,0.52
446,1.51,0.14,0.02,0.06
447,1.09,28.84,0.01,2.16
448,0.94,10.83,0.01,3.94
449,2.68,9.02,0.04,3.98
450,0.3,0.44,0.001,2.5
451,0.23,23.16,0.001,3.5
452,2.55,20.81,,2.8
453,0.86,18.64,0.04,1.31
454,4.32,10.15,0.04,1.98
455,0.24,8.63,0.04,1.07
456,3.63,3.53,0.03,2.79
457,3.26,21.24,0.05,3.86
458,0.42,3.22,0.01,0.65
459,0.77,12.4,0.05,3.45
460,0.6,2.21,,3.53
461,0.58,29.19,0.02,1.71
462,3.82,13.59,0.01,0.84
463,2.78,3.14,0.02,0.22
464,3.62,3.82,0.001,0.58
465,3.88,21.08,0.01,3.74
466,4.64,19.96,0.03,3.02
467,2.25,12.28,0.02,2.16
468,0.54,22.33,0.02,2.27
469,4.62,8.7,0.04,3.11
470,2.5,10.59,0.01,0.57
471,3.08,8.83,0.05,2.24
472,3.03,13.84,0.01,3.92
473,2.85,28.55,0.02,1.67
474,1.38,18.97,0.04,1.47
475,2.73,19.42,0.02,1.78
476,3.02,8.17,0.001,3.76
477,1.96,16.66,0.001,2.93
478,2.35,14.14,0.02,2.86
479,2.45,27.89,0.02,3.25
480,2.67,18.79,0.02,0.07
481,1.12,14.79,0.04,3.08
482,3.3,9.33,0.04,1.28
483,0.43,28.29,0.01,0.88
484,,25.95,0.01,0.75
485,0.85,10.38,0.05,0.17
486,4.64,22.51,0.04,2.97
487,0.5,9.32,0.03,2.99
488,4.75,15.62,0.02,3.18
489,1.89,15.42,0.05,1.38
490,3.75,17.69,0.04,1.87
491,3.32,21.84,0.03,3.45
492,1.75,13.74,0.01,1.36
493,0.94,2.84,0.01,3.54
494,2.66,22.84,0.01,2.09
495,2.76,4.15,0.02,2.0
496,0.43,13.55,0.03,3.28
497,2.63,19.11,0.02,1.74
498,2.85,23.02,0.03,2.24
499,0.04,13.18,0.02,2.44
500,0.88,11.12,0.04,0.92
501,3.03,9.19,0.05,0.65
502,2.22,29.68,0.03,2.86
503,4.91,18.02,0.04,0.13
504,1.15,20.06,0.02,2.73
505,4.8,11.92,0.05,3.2
506,0.47,26.77,0.02,0.29
507,1.62,6.54,0.01,1.46
508,2.68,9.61,0.02,1.32
509,0.09,12.26,0.04,3.61
510,4.66,0.27,0.04,0.16
511,2.74,14.81,0.02,3.84
512,1.79,16.6,0.03,2.36
513,2.5,,0.03,1.5
514,3.52,2.07,0.04,2.46
515,4.15,19.07,0.001,1.99
516,3.78,19.17,0.05,0.76
517,1.82,9.2,0.01,1.74
518,2.91,5.19,0.02,2.66
519,4.3,16.35,0.03,2.9
520,3.24,2.01,0.001,1.6
521,3.53,5.43,0.04,2.34
522,3.04,22.29,0.05,1.87
523,2.21,29.72,0.02,1.4
524,2.47,25.2,0.04,1.01
525,1.92,19.73,0.03,1.11
526,1.22,23.18,0.04,3.65
527,,23.58,0.001,0.57
528,4.19,23.37,0.05,1.65
529,4.21,17.84,0.01,3.94
530,4.07,10.36,0.01,3.29
531,2.56,1.36,0.04,3.45
532,3.55,26.04,0.03,1.94
533,3.94,21.58,0.04,2.9
534,1.22,1.36,0.01,3.2
535,0.8,13.59,0.03,3.16
536,3.31,19.49,0.04,1.36
537,2.59,27.47,0.01,1.8
538,,9.79,0.001,1.6
539,3.15,17.13,0.01,2.63
540,0.18,11.66,0.04,0.86
541,3.86,11.02,0.01,3.64
542,1.25,5.66,0.001,0.87
543,0.18,4.08,0.04,0.57
544,2.29,16.05,0.01,0.29
545,0.07,14.96,0.01,0.17
546,2.71,27.52,0.01,3.15
547,4.18,29.27,0.05,1.03
548,4.34,1.34,0.02,1.82
549,0.92,9.34,0.04,1.39
550,2.39,14.48,0.02,1.14
551,0.9,5.48,0.05,3.58
552,0.89,23.24,0.03,3.35
553,2.4,26.12,0.03,3.57
554,4.91,20.65,0.02,2.69
555,3.37,18.41,0.05,2.36
556,3.08,16.77,0.03,1.81
557,3.69,12.46,0.05,2.01
558,4.71,23.41,0.02,1.63
559,3.36,19.29,0.03,0.56
560,4.46,28.08,0.02,3.93
561,4.5,14.44,0.02,1.72
562,0.57,4.63,0.04,1.31
563,2.69,4,0.02,0.28
564,4.3,2.03,0.01,3.09
565,2.17,8.76,0.01,1.93
566,1.32,17.66,0.01,0.12
567,2.59,5.8,0.001,1.99
568,5.0,19.45,0.05,2.42
569,2.6,18.17,0.03,3.33
570,0.35,21.76,0.01,2.53
571,3.83,16.01,0.01,2.57
572,2.9,1.66,0.05,2.79
573,1.56,6.47,0.02,0.78
574,4.34,1.86,0.04,1.84
575,2.23,25.59,0.02,3.03
576,3.81,8.13,0.02,3.51
577,2.75,26.64,0.001,0.19
578,0.81,20.38,0.04,3.53
579,1.12,9.92,0.01,
580,4.0,28.24,0.01,0.78
581,4.08,20.19,0.04,3.34
582,1.55,10.16,0.01,2.91
