Id,gender,race/ethnicity,parental level of education,lunch
1961001,female,group B,bachelor's degree,standard
1961002,female,group C,some college,standard
1961003,female,group B,master's degree,standard
1961004,male,group A,associate's degree,free/reduced
1961005,male,group C,some college,standard
1961006,female,group B,associate's degree,standard
1961007,female,group B,some college,standard
1961008,male,group B,some college,free/reduced
1961009,male,group D,high school,free/reduced
1961010,female,group B,high school,free/reduced
1961011,male,group C,associate's degree,standard
1961012,male,group D,associate's degree,standard
1961013,female,group B,high school,standard
1961014,male,group A,some college,standard
1961015,female,group A,master's degree,standard
1961016,female,group C,some high school,standard
1961017,male,group C,high school,standard
1961018,female,group B,some high school,free/reduced
1961019,male,group C,master's degree,free/reduced
1961020,female,group C,associate's degree,free/reduced
1961021,male,group D,high school,standard
1961022,female,group B,some college,free/reduced
1961023,male,group D,some college,standard
1961024,female,group C,some high school,standard
1961025,male,group D,bachelor's degree,free/reduced
1961026,male,group A,master's degree,free/reduced
1961027,male,group B,some college,standard
1961028,female,group C,bachelor's degree,standard
1961029,male,group C,high school,standard
1961030,female,group D,master's degree,standard
1961031,female,group D,some college,standard
1961032,female,group B,some college,standard
1961033,female,group E,master's degree,free/reduced
1961034,male,group D,some college,standard
1961035,male,group E,some college,standard
1961036,male,group E,associate's degree,standard
1961037,female,group D,associate's degree,standard
1961038,female,group D,some high school,free/reduced
1961039,female,group D,associate's degree,free/reduced
1961040,male,group B,associate's degree,free/reduced
1961041,male,group C,associate's degree,free/reduced
1961042,female,group C,associate's degree,standard
1961043,female,group B,associate's degree,standard
1961044,male,group B,some college,free/reduced
1961045,female,group E,associate's degree,free/reduced
1961046,male,group B,associate's degree,standard
1961047,female,group A,associate's degree,standard
1961048,female,group C,high school,standard
1961049,female,group D,associate's degree,free/reduced
1961050,male,group C,high school,standard
1961051,male,group E,some college,standard
1961052,male,group E,associate's degree,free/reduced
1961053,male,group C,some college,standard
1961054,male,group D,high school,standard
1961055,female,group C,some high school,free/reduced
1961056,female,group C,high school,free/reduced
1961057,female,group E,associate's degree,standard
1961058,male,group D,associate's degree,standard
1961059,male,group D,some college,standard
1961060,female,group C,some high school,free/reduced
1961061,male,group E,bachelor's degree,free/reduced
1961062,male,group A,some high school,free/reduced
1961063,male,group A,associate's degree,free/reduced
1961064,female,group C,associate's degree,standard
1961065,female,group D,some high school,standard
1961066,male,group B,some high school,standard
1961067,male,group D,some high school,free/reduced
