Id,population,households,median_income,median_house_value
401,322.0,126.0,8.3252,452600.0
402,2401.0,1138.0,8.3014,358500.0
403,496.0,177.0,7.2574,352100.0
404,558.0,219.0,5.6431,341300.0
405,565.0,259.0,3.8462,342200.0
406,413.0,193.0,4.0368,269700.0
407,1094.0,514.0,3.6591,299200.0
408,1157.0,647.0,3.12,241400.0
409,1206.0,595.0,2.0804,226700.0
410,1551.0,714.0,3.6912,261100.0
411,910.0,402.0,3.2031,281500.0
412,1504.0,734.0,3.2705,241800.0
413,1098.0,468.0,3.075,213500.0
414,345.0,174.0,2.6736,191300.0
415,1212.0,620.0,1.9167,159200.0
416,697.0,264.0,2.125,140000.0
417,793.0,331.0,2.775,152500.0
418,648.0,303.0,2.1202,155500.0
419,990.0,419.0,1.9911,158700.0
420,690.0,275.0,2.6033,162900.0
421,409.0,166.0,1.3578,147500.0
422,929.0,366.0,1.7135,159800.0
423,1015.0,478.0,1.725,113900.0
424,853.0,325.0,2.1806,99700.0
425,1006.0,422.0,2.6,132600.0
426,317.0,119.0,2.4038,107500.0
427,607.0,239.0,2.4597,93800.0
428,1102.0,397.0,1.808,105500.0
429,1131.0,473.0,1.6424,108900.0
430,395.0,155.0,1.6875,132000.0
431,863.0,378.0,1.9274,122300.0
432,1168.0,441.0,1.9615,115200.0
433,1026.0,335.0,1.7969,110400.0
434,754.0,329.0,1.375,104900.0
435,1258.0,536.0,2.7303,109700.0
436,570.0,264.0,1.4861,97200.0
437,987.0,374.0,1.0972,104500.0
438,901.0,403.0,1.4103,103900.0
439,689.0,309.0,3.48,191400.0
440,1377.0,696.0,2.5898,176000.0
441,946.0,395.0,2.0978,155400.0
442,517.0,249.0,1.2852,150000.0
443,462.0,189.0,1.025,118800.0
444,467.0,198.0,3.9643,188800.0
445,660.0,292.0,3.0125,184400.0
446,718.0,382.0,2.6768,182300.0
447,616.0,304.0,2.026,142500.0
448,558.0,253.0,1.7348,137500.0
449,423.0,160.0,0.9506,187500.0
450,700.0,352.0,1.775,112500.0
451,735.0,438.0,0.9218,171900.0
452,1061.0,407.0,1.5045,93800.0
453,1959.0,720.0,1.1108,97500.0
454,1162.0,400.0,1.2475,104200.0
455,701.0,233.0,1.6098,87500.0
456,576.0,220.0,1.4113,83100.0
457,622.0,259.0,1.5057,87500.0
458,728.0,244.0,0.8172,85300.0
459,1074.0,304.0,1.2171,80300.0
460,94.0,57.0,2.5625,60000.0
461,554.0,187.0,3.3929,75700.0
462,86.0,23.0,6.1183,75000.0
463,377.0,122.0,0.9011,86100.0
464,521.0,159.0,1.191,76100.0
465,392.0,133.0,2.5938,73500.0
466,604.0,187.0,1.1667,78400.0
467,788.0,332.0,0.8056,84400.0
468,492.0,147.0,2.6094,81300.0
469,274.0,82.0,1.8516,85000.0
470,1823.0,611.0,0.9802,129200.0
471,392.0,127.0,1.7719,82500.0
472,582.0,277.0,0.7286,95200.0
473,560.0,152.0,1.75,75000.0
474,18.0,7.0,0.4999,67500.0
475,290.0,133.0,2.483,137500.0
476,762.0,439.0,0.9241,177500.0
477,1236.0,509.0,2.4464,102100.0
478,721.0,207.0,1.1111,108300.0
479,1054.0,325.0,0.8026,112500.0
480,344.0,155.0,2.0114,131300.0
481,609.0,289.0,1.5,162500.0
482,183.0,56.0,1.1667,112500.0
483,200.0,87.0,1.5208,112500.0
484,346.0,155.0,0.8075,137500.0
485,467.0,169.0,1.8088,118800.0
486,377.0,115.0,2.4083,98200.0
487,582.0,380.0,0.977,118800.0
488,546.0,330.0,0.76,162500.0
489,125.0,39.0,0.9722,137500.0
490,396.0,85.0,1.2434,500001.0
491,800.0,362.0,2.0938,162500.0
492,,88.0,0.8668,137500.0
493,191.0,34.0,0.75,162500.0
494,718.0,302.0,2.6354,187500.0
495,1327.0,467.0,1.8477,179200.0
496,3469.0,2323.0,2.0096,130000.0
497,2048.0,1180.0,2.8345,183800.0
498,202.0,91.0,2.0062,125000.0
499,2024.0,1250.0,1.2185,170000.0
500,1838.0,980.0,2.6104,193100.0
501,2304.0,1250.0,2.4912,257800.0
502,2563.0,1497.0,3.2177,273400.0
503,389.0,228.0,3.125,237500.0
504,895.0,613.0,2.5795,350000.0
505,2689.0,1789.0,2.8406,335700.0
506,674.0,244.0,4.9306,313400.0
507,709.0,456.0,3.2727,268500.0
508,686.0,422.0,3.1691,259400.0
509,1444.0,718.0,3.9,275700.0
510,1520.0,802.0,3.9063,225000.0
