Id,MathScore,ReadingScore,WritingScore
2161001,72.0,72.0,74.0
2161002,69.0,90.0,
2161003,90.0,95.0,93.0
2161004,47.0,57.0,44.0
2161005,76.0,78.0,75.0
2161006,,83.0,78.0
2161007,88.0,95.0,92.0
2161008,40.0,43.0,39.0
2161009,64.0,64.0,67.0
2161010,38.0,60.0,50.0
2161011,58.0,54.0,52.0
2161012,40.0,52.0,43.0
2161013,65.0,81.0,73.0
2161014,78.0,72.0,70.0
2161015,50.0,53.0,58.0
2161016,69.0,75.0,78.0
2161017,88.0,89.0,86.0
2161018,18.0,32.0,28.0
2161019,46.0,42.0,46.0
2161020,54.0,58.0,61.0
2161021,66.0,69.0,63.0
2161022,65.0,75.0,70.0
2161023,44.0,54.0,53.0
2161024,69.0,73.0,73.0
2161025,74.0,71.0,80.0
2161026,73.0,74.0,72.0
2161027,69.0,54.0,55.0
2161028,67.0,69.0,75.0
2161029,70.0,70.0,65.0
2161030,62.0,,75.0
2161031,69.0,74.0,74.0
2161032,,65.0,
2161033,56.0,72.0,65.0
2161034,40.0,42.0,38.0
2161035,97.0,87.0,82.0
2161036,81.0,81.0,79.0
2161037,74.0,81.0,83.0
2161038,50.0,64.0,59.0
2161039,75.0,90.0,88.0
2161040,57.0,56.0,57.0
2161041,55.0,61.0,54.0
2161042,58.0,73.0,
2161043,53.0,58.0,65.0
2161044,59.0,65.0,66.0
2161045,50.0,56.0,54.0
2161046,65.0,54.0,57.0
2161047,55.0,65.0,62.0
2161048,66.0,71.0,76.0
2161049,57.0,74.0,76.0
2161050,82.0,84.0,82.0
2161051,53.0,55.0,48.0
2161052,77.0,69.0,68.0
2161053,53.0,44.0,42.0
2161054,88.0,78.0,
2161055,71.0,84.0,87.0
2161056,33.0,41.0,43.0
2161057,82.0,85.0,86.0
2161058,52.0,55.0,49.0
2161059,58.0,59.0,58.0
2161060,0.0,17.0,10.0
2161061,79.0,74.0,72.0
2161062,39.0,39.0,34.0
2161063,62.0,61.0,55.0
2161064,69.0,80.0,71.0
2161065,59.0,58.0,59.0
2161066,,,61.0
2161067,45.0,37.0,37.0
2161068,60.0,72.0,74.0
2161069,61.0,58.0,
2161070,39.0,64.0,57.0
2161071,58.0,63.0,73.0
2161072,63.0,55.0,63.0
2161073,41.0,51.0,48.0
2161074,61.0,57.0,56.0
2161075,49.0,49.0,41.0
2161076,44.0,41.0,38.0
2161077,30.0,26.0,22.0
2161078,80.0,78.0,81.0
2161079,61.0,74.0,72.0
2161080,,68.0,68.0
2161081,47.0,49.0,50.0
2161082,49.0,45.0,45.0
2161083,50.0,47.0,54.0
2161084,72.0,64.0,63.0
2161085,42.0,39.0,34.0
2161086,73.0,80.0,82.0
2161087,76.0,83.0,88.0
2161088,71.0,71.0,74.0
2161089,,70.0,67.0
2161090,73.0,86.0,82.0
2161091,65.0,72.0,74.0
2161092,27.0,34.0,36.0
2161093,71.0,79.0,71.0
2161094,43.0,45.0,50.0
