Id,t1_m,t1_p,t1_c,t2_m,t2_p,t2_c,t3_m,t3_p,t3_c,t4_m,t4_p,t4_c,t5_m(calc),t5_p(calc),t5_c(calc)
22000,113.0,112.0,114.0,117.0,111.0,114.0,112.0,113.0,120.0,119.0,114.0,115.0,120.0,112.0,114.0
22001,109.0,107.0,108.0,108.0,108.0,106.0,105.0,105.0,107.0,110.0,109.0,110.0,106.0,110.0,109.0
22002,105.0,102.0,104.0,104.0,104.0,104.0,103.0,105.0,103.0,103.0,102.0,101.0,105.0,103.0,102.0
22003,95.0,96.0,99.0,97.0,96.0,95.0,98.0,99.0,95.0,97.0,98.0,100.0,98.0,96.0,99.0
22004,95.0,92.0,93.0,91.0,94.0,90.0,92.0,90.0,91.0,90.0,90.0,94.0,91.0,91.0,94.0
22005,86.0,89.0,85.0,85.0,86.0,85.0,89.0,90.0,88.0,89.0,88.0,85.0,86.0,86.0,88.0
22006,80.0,81.0,82.0,84.0,83.0,83.0,83.0,85.0,80.0,81.0,81.0,84.0,52.0,70.0,54.0
22007,78.0,75.0,79.0,78.0,78.0,78.0,77.0,79.0,78.0,78.0,77.0,79.0,77.0,75.0,80.0
22008,73.0,74.0,70.0,73.0,75.0,75.0,74.0,71.0,70.0,70.0,70.0,72.0,71.0,70.0,71.0
22009,69.0,67.0,68.0,67.0,65.0,68.0,65.0,68.0,69.0,70.0,,69.0,65.0,67.0,69.0
22010,65.0,61.0,64.0,62.0,64.0,61.0,65.0,62.0,61.0,65.0,63.0,61.0,61.0,61.0,60.0
22011,55.0,57.0,59.0,55.0,60.0,59.0,55.0,59.0,55.0,56.0,55.0,55.0,60.0,57.0,60.0
22012,52.0,51.0,53.0,51.0,50.0,51.0,52.0,53.0,54.0,52.0,54.0,51.0,52.0,51.0,50.0
22013,46.0,45.0,47.0,45.0,50.0,49.0,47.0,47.0,45.0,45.0,45.0,50.0,45.0,50.0,45.0
22014,42.0,44.0,45.0,40.0,42.0,42.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,45.0,40.0
22015,39.0,39.0,39.0,39.0,40.0,40.0,38.0,40.0,40.0,40.0,39.0,39.0,35.0,40.0,40.0
22016,32.0,34.0,34.0,33.0,32.0,31.0,34.0,,35.0,30.0,33.0,32.0,34.0,34.0,31.0
22017,27.0,27.0,25.0,27.0,27.0,26.0,28.0,28.0,25.0,29.0,27.0,30.0,25.0,28.0,25.0
22018,22.0,14.0,19.0,25.0,21.0,18.0,20.0,23.0,11.0,24.0,13.0,20.0,12.0,14.0,10.0
22019,6.0,10.0,2.0,3.0,2.0,0.0,10.0,10.0,8.0,4.0,1.0,7.0,2.0,5.0,3.0
22020,120.0,117.0,118.0,112.0,118.0,117.0,112.0,110.0,110.0,116.0,119.0,120.0,119.0,118.0,111.0
22021,105.0,108.0,109.0,107.0,105.0,109.0,109.0,108.0,109.0,106.0,106.0,108.0,106.0,107.0,108.0
22022,102.0,105.0,104.0,103.0,105.0,104.0,105.0,104.0,102.0,101.0,103.0,101.0,102.0,103.0,105.0
22023,100.0,95.0,97.0,99.0,98.0,97.0,100.0,95.0,98.0,95.0,99.0,98.0,98.0,99.0,99.0
22024,91.0,94.0,94.0,94.0,90.0,92.0,90.0,90.0,92.0,91.0,91.0,94.0,93.0,94.0,93.0
