Sample ID,Dissolved Oxygen (mg/L),Conductivity (µS/cm)
1,7.8,342.0
2,6.2,335.0
3,8.3,356.0
4,9.5,327.0
5,8.1,352.0
6,7.2,320.0
7,8.8,350.0
8,6.9,325.0
9,8.4,360.0
10,7.5,330.0
11,8.6,347.0
12,7.1,328.0
13,6.4,341.0
14,9.2,355.0
15,7.9,329.0
16,6.8,362.0
17,8.1,336.0
18,9.6,351.0
19,7.5,319.0
20,8.9,330.0
21,6.1,348.0
22,8.0,365.0
23,7.7,326.0
24,9.1,355.0
25,7.4,317.0
26,6.6,339.0
27,8.7,354.0
28,7.0,324.0
29,8.5,358.0
30,6.9,332.0
31,8.9,
32,6.3,363.0
33,8.2,347.0
34,7.6,316.0
35,7.9,331.0
36,8.5,346.0
37,7.7,321.0
38,7.2,335.0
39,9.2,357.0
40,8.8,318.0
41,9.5,353.0
42,8.1,330.0
43,6.5,344.0
44,8.0,327.0
45,9.3,361.0
46,7.8,338.0
47,7.3,352.0
48,8.3,319.0
49,8.9,346.0
50,9.1,331.0
51,6.8,340.0
52,9.4,356.0
53,8.4,322.0
54,7.1,364.0
55,8.6,337.0
56,9.7,349.0
57,7.6,328.0
58,6.9,333.0
59,6.0,357.0
60,7.9,320.0
61,9.0,
62,,326.0
63,8.2,355.0
64,8.7,334.0
65,6.6,348.0
66,9.4,362.0
67,8.2,323.0
68,7.5,350.0
69,9.1,330.0
70,7.1,341.0
71,8.8,329.0
72,6.7,345.0
73,9.3,358.0
74,7.9,332.0
75,,347.0
76,8.0,321.0
77,9.5,351.0
78,7.4,330.0
79,8.2,339.0
80,,
81,6.4,324.0
82,7.7,346.0
83,8.9,329.0
84,8.4,337.0
85,9.6,354.0
86,7.0,333.0
87,9.0,348.0
88,7.8,331.0
89,9.1,362.0
90,8.6,340.0
91,7.2,327.0
92,,342.0
93,8.1,355.0
94,8.7,338.0
95,8.9,328.0
96,8.3,365.0
97,7.5,332.0
98,9.2,358.0
99,7.3,327.0
100,7.8,350.0
101,8.9,
102,7.4,347.0
103,9.5,366.0
104,8.1,339.0
105,7.9,326.0
106,,350.0
107,6.5,319.0
108,,343.0
109,8.4,330.0
110,9.0,360.0
111,7.7,327.0
112,8.5,345.0
113,9.1,352.0
114,7.6,334.0
115,9.4,357.0
116,7.0,329.0
117,8.2,346.0
118,7.2,335.0
119,9.6,364.0
120,,341.0
121,9.2,353.0
122,6.9,322.0
123,8.0,344.0
124,8.6,326.0
125,9.4,356.0
126,6.3,328.0
127,9.1,361.0
128,7.5,338.0
129,8.3,347.0
130,7.7,331.0
131,8.7,329.0
132,9.3,357.0
133,7.2,326.0
134,9.0,348.0
135,8.1,335.0
136,9.5,353.0
137,7.6,329.0
138,8.8,342.0
139,8.3,336.0
140,9.7,365.0
141,7.9,
142,8.7,349.0
143,9.4,356.0
144,7.8,331.0
145,9.1,358.0
146,7.3,332.0
147,8.4,344.0
148,8.2,336.0
149,9.8,367.0
150,7.5,327.0
151,9.3,354.0
152,6.8,323.0
153,7.7,345.0
154,9.6,351.0
155,8.0,339.0
156,6.9,328.0
157,9.2,359.0
158,7.4,337.0
159,8.9,346.0
160,7.9,333.0
161,8.5,331.0
162,9.6,363.0
163,7.8,328.0
164,8.9,347.0
165,8.0,333.0
166,9.4,352.0
167,7.3,325.0
168,8.6,345.0
169,8.1,335.0
170,9.9,370.0
171,7.7,329.0
172,,350.0
173,9.7,359.0
174,8.3,
175,9.2,360.0
176,7.9,331.0
177,,355.0
178,7.5,332.0
179,9.8,370.0
180,7.4,330.0
181,9.5,357.0
182,7.1,327.0
183,8.1,342.0
184,9.0,351.0
185,7.9,334.0
186,7.1,327.0
187,9.4,364.0
188,6.8,322.0
189,8.7,346.0
190,8.2,338.0
191,8.2,336.0
192,8.4,
193,8.6,
194,7.8,330.0
195,9.8,
196,8.1,340.0
197,7.4,328.0
198,9.3,357.0
199,8.7,344.0
200,7.9,
201,8.4,342.0
202,9.3,357.0
203,7.9,328.0
204,8.5,347.0
205,8.8,353.0
206,9.2,349.0
207,7.5,330.0
208,8.1,341.0
209,9.0,356.0
210,9.7,366.0
211,7.7,331.0
212,8.9,358.0
213,8.6,345.0
214,9.1,335.0
215,8.3,348.0
216,9.4,362.0
217,8.2,344.0
218,7.8,330.0
219,9.5,369.0
220,8.0,333.0
221,9.6,359.0
222,7.6,324.0
223,8.9,
224,7.8,336.0
225,9.2,355.0
226,7.2,331.0
227,8.7,
228,9.3,361.0
229,7.5,335.0
230,8.8,343.0
231,8.3,339.0
232,9.4,364.0
233,7.7,327.0
234,9.1,351.0
235,7.9,336.0
236,8.4,344.0
237,8.2,333.0
238,9.5,360.0
239,8.7,342.0
240,9.9,370.0
241,8.0,345.0
242,9.3,359.0
243,8.9,355.0
244,8.1,338.0
245,9.6,367.0
246,7.5,329.0
247,8.6,347.0
248,7.8,332.0
249,9.7,366.0
250,8.2,340.0
251,9.2,358.0
252,,329.0
253,9.1,353.0
254,8.5,342.0
255,9.4,363.0
256,7.8,328.0
257,9.2,362.0
258,8.7,337.0
259,9.5,359.0
260,7.9,336.0
261,8.3,342.0
262,9.2,355.0
263,7.7,329.0
264,9.1,352.0
265,7.9,334.0
266,8.4,346.0
267,7.5,328.0
268,8.1,341.0
269,,348.0
270,9.8,368.0
271,7.7,
272,8.9,355.0
273,8.6,351.0
274,8.0,332.0
275,9.4,362.0
276,7.8,338.0
277,8.5,345.0
278,8.2,333.0
279,9.7,370.0
280,7.9,335.0
281,9.3,359.0
282,7.6,327.0
283,8.3,342.0
284,9.0,351.0
285,8.0,339.0
286,7.2,328.0
287,9.2,358.0
288,7.4,337.0
289,8.9,345.0
290,7.9,333.0
291,8.3,341.0
