Id,Maths,History,Geograpgy
1961001,3.0,71.0,37.0
1961002,67.0,91.0,50.0
1961003,99.0,60.0,25.0
1961004,94.0,52.0,38.0
1961005,38.0,6.0,54.0
1961006,53.0,64.0,
1961007,38.0,50.0,21.0
1961008,65.0,15.0,20.0
1961009,43.0,59.0,59.0
1961010,76.0,83.0,62.0
1961011,16.0,20.0,48.0
1961012,13.0,39.0,86.0
1961013,93.0,93.0,28.0
1961014,94.0,23.0,84.0
1961015,59.0,40.0,6.0
1961016,93.0,58.0,46.0
1961017,29.0,89.0,16.0
1961018,39.0,26.0,78.0
1961019,32.0,61.0,2.0
1961020,86.0,92.0,3.0
1961021,35.0,79.0,57.0
1961022,8.0,21.0,
1961023,62.0,13.0,29.0
1961024,74.0,34.0,12.0
1961025,14.0,39.0,40.0
1961026,7.0,35.0,2.0
1961027,65.0,,6.0
1961028,94.0,13.0,63.0
1961029,95.0,36.0,79.0
1961030,98.0,72.0,84.0
1961031,75.0,4.0,
1961032,64.0,38.0,72.0
1961033,14.0,76.0,22.0
1961034,29.0,88.0,26.0
1961035,18.0,20.0,35.0
1961036,45.0,82.0,59.0
1961037,,27.0,72.0
1961038,66.0,54.0,28.0
1961039,77.0,40.0,53.0
1961040,73.0,40.0,47.0
1961041,56.0,13.0,94.0
1961042,33.0,74.0,69.0
1961043,23.0,89.0,80.0
1961044,1.0,25.0,97.0
1961045,45.0,74.0,58.0
1961046,2.0,3.0,22.0
1961047,34.0,7.0,31.0
1961048,48.0,55.0,84.0
1961049,88.0,17.0,94.0
1961050,47.0,77.0,32.0
1961051,12.0,34.0,8.0
1961052,73.0,20.0,4.0
1961053,85.0,93.0,42.0
1961054,51.0,48.0,47.0
1961055,33.0,23.0,43.0
1961056,94.0,25.0,57.0
1961057,,60.0,28.0
1961058,34.0,15.0,67.0
1961059,90.0,14.0,90.0
1961060,66.0,0.0,38.0
1961061,99.0,89.0,94.0
1961062,75.0,41.0,57.0
1961063,,17.0,85.0
1961064,48.0,37.0,48.0
1961065,15.0,97.0,57.0
1961066,43.0,71.0,0.0
1961067,29.0,66.0,7.0
1961068,6.0,1.0,17.0
1961069,21.0,60.0,4.0
1961070,65.0,38.0,83.0
1961071,,98.0,
1961072,56.0,1.0,56.0
1961073,14.0,0.0,23.0
1961074,27.0,60.0,29.0
1961075,31.0,70.0,81.0
1961076,21.0,40.0,95.0
1961077,78.0,56.0,
1961078,65.0,71.0,16.0
1961079,34.0,12.0,27.0
1961080,20.0,25.0,59.0
1961081,71.0,70.0,32.0
1961082,49.0,26.0,37.0
1961083,94.0,39.0,6.0
1961084,10.0,40.0,83.0
1961085,20.0,47.0,81.0
1961086,70.0,79.0,50.0
1961087,88.0,24.0,89.0
1961088,72.0,25.0,45.0
1961089,48.0,19.0,83.0
1961090,62.0,79.0,29.0
1961091,76.0,1.0,38.0
1961092,16.0,10.0,30.0
1961093,37.0,65.0,69.0
1961094,43.0,2.0,24.0
1961095,43.0,43.0,41.0
1961096,3.0,8.0,
1961097,97.0,20.0,80.0
1961098,61.0,35.0,19.0
1961099,38.0,90.0,7.0
1961100,29.0,91.0,82.0
1961101,2.0,46.0,18.0
1961102,65.0,12.0,54.0
1961103,,23.0,84.0
1961104,69.0,22.0,81.0
1961105,0.0,84.0,13.0
1961106,16.0,20.0,91.0
1961107,23.0,58.0,20.0
1961108,34.0,39.0,29.0
1961109,63.0,95.0,40.0
1961110,47.0,33.0,20.0
1961111,,91.0,34.0
1961112,47.0,6.0,98.0
1961113,7.0,94.0,89.0
1961114,36.0,1.0,73.0
1961115,14.0,34.0,84.0
1961116,57.0,83.0,80.0
1961117,81.0,25.0,59.0
1961118,73.0,29.0,36.0
1961119,89.0,76.0,98.0
1961120,27.0,12.0,41.0
1961121,2.0,,70.0
1961122,22.0,30.0,89.0
1961123,40.0,3.0,70.0
1961124,65.0,61.0,73.0
1961125,82.0,1.0,42.0
1961126,28.0,69.0,19.0
1961127,34.0,46.0,45.0
1961128,34.0,23.0,83.0
1961129,97.0,2.0,62.0
1961130,24.0,54.0,38.0
1961131,59.0,88.0,30.0
1961132,53.0,63.0,17.0
1961133,,53.0,63.0
1961134,34.0,46.0,38.0
1961135,4.0,42.0,0.0
1961136,3.0,6.0,86.0
1961137,38.0,38.0,14.0
1961138,51.0,20.0,60.0
1961139,32.0,20.0,55.0
1961140,61.0,54.0,37.0
1961141,82.0,93.0,97.0
1961142,43.0,60.0,56.0
1961143,26.0,10.0,4.0
1961144,21.0,60.0,6.0
1961145,88.0,50.0,97.0
1961146,85.0,74.0,84.0
1961147,59.0,53.0,
1961148,21.0,17.0,40.0
1961149,50.0,94.0,69.0
1961150,56.0,74.0,86.0
1961151,80.0,56.0,11.0
1961152,37.0,,71.0
1961153,55.0,29.0,26.0
1961154,20.0,23.0,33.0
1961155,81.0,76.0,37.0
1961156,49.0,50.0,76.0
1961157,63.0,49.0,88.0
1961158,84.0,43.0,67.0
1961159,9.0,42.0,92.0
1961160,32.0,45.0,22.0
1961161,17.0,39.0,26.0
1961162,8.0,74.0,23.0
1961163,32.0,70.0,61.0
1961164,63.0,90.0,30.0
1961165,9.0,89.0,1.0
1961166,68.0,25.0,36.0
1961167,27.0,84.0,
1961168,6.0,21.0,74.0
1961169,78.0,72.0,68.0
1961170,61.0,10.0,71.0
1961171,26.0,43.0,6.0
1961172,17.0,13.0,12.0
1961173,59.0,52.0,68.0
1961174,30.0,,28.0
1961175,22.0,43.0,94.0
1961176,83.0,14.0,53.0
1961177,20.0,50.0,75.0
1961178,48.0,19.0,73.0
1961179,33.0,22.0,11.0
1961180,32.0,62.0,75.0
1961181,8.0,87.0,7.0
1961182,11.0,85.0,25.0
1961183,48.0,48.0,61.0
1961184,76.0,21.0,79.0
1961185,62.0,88.0,44.0
1961186,72.0,67.0,9.0
1961187,0.0,34.0,8.0
1961188,9.0,81.0,54.0
1961189,27.0,60.0,50.0
1961190,96.0,84.0,98.0
1961191,51.0,79.0,89.0
1961192,71.0,59.0,44.0
1961193,90.0,80.0,89.0
1961194,60.0,79.0,29.0
1961195,87.0,28.0,13.0
1961196,25.0,99.0,72.0
1961197,3.0,90.0,62.0
1961198,19.0,58.0,56.0
1961199,,45.0,48.0
1961200,42.0,93.0,6.0
1961201,5.0,2.0,35.0
1961202,70.0,43.0,85.0
1961203,74.0,87.0,49.0
1961204,30.0,81.0,19.0
1961205,64.0,37.0,29.0
1961206,89.0,20.0,30.0
1961207,16.0,78.0,89.0
1961208,80.0,31.0,85.0
1961209,10.0,1.0,17.0
1961210,40.0,91.0,81.0
1961211,32.0,2.0,41.0
1961212,43.0,84.0,92.0
1961213,54.0,34.0,35.0
1961214,23.0,63.0,97.0
1961215,65.0,12.0,18.0
1961216,10.0,32.0,19.0
1961217,82.0,88.0,17.0
1961218,18.0,28.0,0.0
1961219,31.0,7.0,32.0
1961220,49.0,65.0,97.0
1961221,28.0,71.0,39.0
1961222,6.0,70.0,35.0
1961223,78.0,24.0,71.0
1961224,89.0,14.0,89.0
1961225,76.0,17.0,60.0
1961226,35.0,24.0,47.0
1961227,43.0,34.0,54.0
1961228,63.0,3.0,85.0
1961229,17.0,59.0,38.0
1961230,40.0,86.0,75.0
1961231,35.0,49.0,90.0
1961232,27.0,,50.0
1961233,40.0,57.0,29.0
1961234,70.0,99.0,47.0
1961235,59.0,80.0,99.0
1961236,75.0,44.0,55.0
1961237,5.0,5.0,76.0
1961238,28.0,,44.0
1961239,44.0,61.0,85.0
1961240,88.0,6.0,12.0
1961241,12.0,7.0,51.0
1961242,16.0,73.0,42.0
1961243,38.0,93.0,49.0
1961244,49.0,62.0,83.0
1961245,0.0,49.0,33.0
1961246,89.0,97.0,47.0
1961247,75.0,64.0,47.0
1961248,1.0,44.0,99.0
1961249,68.0,1.0,94.0
1961250,75.0,95.0,75.0
1961251,21.0,36.0,17.0
1961252,,73.0,53.0
1961253,87.0,95.0,59.0
1961254,50.0,88.0,30.0
1961255,6.0,95.0,58.0
1961256,51.0,94.0,74.0
1961257,75.0,55.0,79.0
1961258,28.0,35.0,56.0
1961259,3.0,92.0,96.0
1961260,53.0,21.0,45.0
1961261,93.0,82.0,93.0
1961262,22.0,52.0,52.0
1961263,16.0,88.0,31.0
1961264,36.0,72.0,24.0
1961265,34.0,13.0,95.0
1961266,24.0,90.0,44.0
1961267,76.0,60.0,84.0
1961268,51.0,65.0,46.0
1961269,33.0,95.0,22.0
1961270,3.0,55.0,63.0
1961271,62.0,55.0,66.0
1961272,33.0,28.0,83.0
1961273,57.0,45.0,7.0
1961274,24.0,43.0,15.0
1961275,9.0,83.0,96.0
1961276,10.0,27.0,40.0
1961277,52.0,64.0,17.0
1961278,29.0,19.0,54.0
1961279,38.0,77.0,39.0
1961280,89.0,86.0,65.0
1961281,27.0,69.0,67.0
1961282,85.0,45.0,29.0
1961283,45.0,78.0,9.0
1961284,36.0,66.0,62.0
1961285,58.0,9.0,23.0
1961286,,15.0,36.0
1961287,90.0,89.0,5.0
1961288,10.0,14.0,8.0
1961289,69.0,80.0,22.0
1961290,32.0,95.0,37.0
1961291,52.0,36.0,51.0
1961292,32.0,4.0,10.0
1961293,,3.0,65.0
1961294,37.0,55.0,74.0
1961295,,,36.0
1961296,82.0,,39.0
1961297,85.0,65.0,39.0
1961298,13.0,48.0,82.0
1961299,36.0,65.0,28.0
1961300,30.0,75.0,5.0
1961301,33.0,53.0,62.0
1961302,13.0,58.0,2.0
1961303,33.0,6.0,52.0
1961304,51.0,64.0,73.0
1961305,,68.0,24.0
1961306,27.0,52.0,94.0
1961307,65.0,84.0,50.0
1961308,1.0,38.0,1.0
1961309,65.0,42.0,61.0
1961310,18.0,50.0,48.0
1961311,94.0,30.0,69.0
1961312,59.0,33.0,84.0
1961313,51.0,48.0,42.0
1961314,43.0,90.0,93.0
1961315,17.0,12.0,32.0
1961316,76.0,64.0,6.0
1961317,55.0,99.0,92.0
1961318,41.0,17.0,49.0
1961319,41.0,89.0,74.0
1961320,51.0,20.0,75.0
1961321,51.0,93.0,64.0
1961322,96.0,28.0,80.0
1961323,18.0,3.0,50.0
1961324,98.0,49.0,38.0
1961325,60.0,36.0,66.0
1961326,45.0,47.0,88.0
1961327,71.0,27.0,83.0
1961328,95.0,19.0,60.0
1961329,6.0,3.0,11.0
1961330,25.0,91.0,80.0
1961331,59.0,99.0,24.0
1961332,27.0,9.0,78.0
1961333,69.0,75.0,56.0
1961334,6.0,64.0,64.0
1961335,69.0,21.0,14.0
1961336,18.0,2.0,99.0
1961337,93.0,85.0,8.0
1961338,66.0,55.0,
1961339,87.0,47.0,61.0
1961340,56.0,42.0,51.0
1961341,89.0,99.0,13.0
1961342,42.0,90.0,51.0
1961343,61.0,44.0,41.0
1961344,87.0,18.0,6.0
1961345,50.0,92.0,0.0
1961346,77.0,66.0,50.0
1961347,29.0,64.0,73.0
1961348,83.0,63.0,26.0
1961349,98.0,52.0,33.0
1961350,30.0,,99.0
1961351,79.0,43.0,33.0
1961352,,79.0,86.0
1961353,76.0,97.0,63.0
1961354,76.0,46.0,17.0
1961355,78.0,47.0,6.0
1961356,76.0,30.0,47.0
1961357,36.0,34.0,38.0
1961358,81.0,7.0,7.0
1961359,,98.0,82.0
1961360,22.0,13.0,84.0
1961361,8.0,95.0,37.0
1961362,69.0,67.0,86.0
1961363,76.0,89.0,81.0
1961364,33.0,34.0,37.0
1961365,55.0,54.0,75.0
1961366,48.0,58.0,90.0
1961367,36.0,48.0,48.0
1961368,38.0,83.0,26.0
1961369,48.0,66.0,14.0
1961370,15.0,77.0,90.0
1961371,,15.0,29.0
1961372,27.0,39.0,14.0
1961373,15.0,54.0,49.0
1961374,53.0,41.0,50.0
1961375,61.0,42.0,85.0
1961376,67.0,87.0,44.0
1961377,23.0,17.0,2.0
1961378,35.0,2.0,85.0
1961379,82.0,12.0,71.0
1961380,68.0,50.0,76.0
1961381,52.0,99.0,55.0
1961382,38.0,27.0,24.0
1961383,,36.0,50.0
1961384,77.0,95.0,57.0
1961385,5.0,6.0,6.0
1961386,41.0,25.0,46.0
1961387,18.0,80.0,87.0
1961388,31.0,3.0,24.0
1961389,14.0,97.0,20.0
1961390,38.0,,28.0
1961391,73.0,5.0,18.0
1961392,73.0,46.0,
1961393,32.0,,51.0
1961394,1.0,20.0,88.0
1961395,26.0,51.0,80.0
1961396,34.0,94.0,33.0
1961397,70.0,51.0,60.0
1961398,37.0,5.0,58.0
1961399,21.0,86.0,21.0
1961400,64.0,19.0,62.0
1961401,70.0,35.0,27.0
1961402,58.0,29.0,63.0
1961403,5.0,36.0,77.0
1961404,79.0,89.0,47.0
1961405,35.0,45.0,3.0
1961406,77.0,95.0,79.0
1961407,90.0,37.0,30.0
1961408,10.0,57.0,67.0
1961409,71.0,18.0,86.0
1961410,60.0,76.0,43.0
1961411,91.0,10.0,4.0
1961412,53.0,11.0,66.0
1961413,20.0,58.0,38.0
1961414,28.0,76.0,64.0
1961415,38.0,77.0,
1961416,90.0,96.0,79.0
1961417,88.0,,36.0
1961418,67.0,55.0,29.0
1961419,1.0,38.0,53.0
1961420,23.0,5.0,37.0
1961421,85.0,54.0,25.0
1961422,32.0,16.0,37.0
1961423,88.0,50.0,25.0
1961424,2.0,99.0,67.0
1961425,,73.0,27.0
1961426,45.0,93.0,69.0
1961427,,30.0,93.0
1961428,85.0,64.0,10.0
1961429,24.0,43.0,68.0
1961430,34.0,84.0,44.0
1961431,58.0,99.0,50.0
1961432,40.0,23.0,68.0
1961433,43.0,29.0,
1961434,25.0,52.0,25.0
1961435,62.0,56.0,43.0
1961436,35.0,1.0,14.0
1961437,27.0,59.0,11.0
1961438,83.0,1.0,93.0
1961439,64.0,8.0,80.0
1961440,,90.0,50.0
1961441,57.0,70.0,59.0
1961442,77.0,11.0,39.0
1961443,,78.0,66.0
1961444,25.0,44.0,65.0
1961445,2.0,41.0,2.0
1961446,25.0,8.0,82.0
1961447,26.0,6.0,84.0
1961448,9.0,28.0,
1961449,86.0,24.0,93.0
1961450,99.0,39.0,48.0
1961451,71.0,26.0,49.0
1961452,82.0,94.0,26.0
1961453,23.0,52.0,80.0
1961454,62.0,10.0,12.0
1961455,57.0,44.0,1.0
1961456,93.0,59.0,1.0
1961457,24.0,35.0,45.0
1961458,43.0,20.0,64.0
1961459,27.0,25.0,98.0
1961460,50.0,45.0,9.0
1961461,41.0,89.0,25.0
1961462,63.0,87.0,11.0
1961463,32.0,47.0,52.0
1961464,14.0,56.0,41.0
1961465,64.0,44.0,55.0
1961466,62.0,20.0,12.0
1961467,92.0,25.0,29.0
1961468,16.0,29.0,16.0
1961469,89.0,79.0,13.0
1961470,55.0,80.0,0.0
1961471,92.0,14.0,28.0
1961472,71.0,21.0,27.0
1961473,67.0,5.0,92.0
1961474,7.0,77.0,90.0
1961475,90.0,41.0,88.0
1961476,53.0,87.0,24.0
1961477,64.0,49.0,88.0
1961478,44.0,38.0,43.0
1961479,46.0,69.0,96.0
1961480,73.0,82.0,46.0
1961481,53.0,92.0,73.0
1961482,15.0,34.0,18.0
1961483,71.0,50.0,64.0
1961484,53.0,14.0,2.0
1961485,96.0,52.0,56.0
1961486,45.0,,99.0
1961487,88.0,21.0,35.0
1961488,57.0,73.0,29.0
1961489,6.0,22.0,65.0
1961490,55.0,29.0,73.0
1961491,10.0,40.0,81.0
1961492,52.0,82.0,62.0
1961493,34.0,,59.0
1961494,40.0,7.0,
1961495,98.0,21.0,84.0
1961496,11.0,85.0,36.0
1961497,53.0,53.0,33.0
1961498,26.0,62.0,94.0
1961499,70.0,48.0,33.0
1961500,79.0,20.0,95.0
1961501,85.0,12.0,83.0
1961502,42.0,99.0,0.0
1961503,37.0,95.0,46.0
1961504,10.0,77.0,18.0
1961505,95.0,35.0,46.0
1961506,96.0,43.0,64.0
1961507,15.0,22.0,46.0
1961508,84.0,71.0,21.0
1961509,37.0,17.0,78.0
1961510,70.0,63.0,73.0
1961511,42.0,37.0,75.0
1961512,89.0,60.0,47.0
1961513,56.0,9.0,19.0
1961514,24.0,25.0,16.0
1961515,90.0,57.0,1.0
1961516,18.0,71.0,38.0
1961517,4.0,40.0,67.0
1961518,20.0,,80.0
1961519,32.0,84.0,62.0
1961520,75.0,40.0,29.0
1961521,89.0,45.0,74.0
1961522,29.0,51.0,30.0
1961523,38.0,65.0,11.0
1961524,40.0,28.0,20.0
1961525,23.0,21.0,28.0
1961526,67.0,49.0,27.0
1961527,19.0,57.0,52.0
1961528,89.0,95.0,
1961529,38.0,3.0,91.0
1961530,23.0,17.0,56.0
1961531,59.0,20.0,25.0
1961532,53.0,28.0,93.0
1961533,93.0,94.0,42.0
1961534,6.0,90.0,23.0
1961535,20.0,67.0,67.0
1961536,64.0,45.0,76.0
1961537,93.0,76.0,89.0
1961538,70.0,83.0,15.0
1961539,87.0,62.0,23.0
1961540,40.0,67.0,73.0
1961541,61.0,7.0,52.0
1961542,13.0,53.0,
1961543,41.0,23.0,88.0
1961544,47.0,6.0,53.0
1961545,16.0,39.0,58.0
1961546,59.0,34.0,95.0
1961547,43.0,76.0,85.0
1961548,40.0,41.0,5.0
1961549,38.0,69.0,60.0
1961550,49.0,47.0,16.0
1961551,23.0,4.0,18.0
1961552,73.0,99.0,42.0
1961553,98.0,90.0,17.0
1961554,97.0,30.0,99.0
1961555,6.0,72.0,89.0
1961556,89.0,33.0,12.0
1961557,90.0,88.0,65.0
1961558,97.0,31.0,15.0
1961559,63.0,83.0,14.0
1961560,77.0,29.0,24.0
1961561,37.0,32.0,33.0
1961562,37.0,75.0,10.0
1961563,25.0,1.0,43.0
1961564,22.0,63.0,88.0
1961565,83.0,58.0,53.0
1961566,98.0,23.0,70.0
1961567,3.0,82.0,11.0
1961568,63.0,33.0,36.0
1961569,14.0,86.0,65.0
1961570,82.0,,45.0
1961571,82.0,89.0,13.0
1961572,59.0,1.0,94.0
1961573,20.0,24.0,
1961574,90.0,63.0,36.0
1961575,94.0,49.0,26.0
1961576,49.0,98.0,44.0
1961577,10.0,52.0,79.0
1961578,80.0,53.0,49.0
1961579,39.0,51.0,35.0
1961580,26.0,34.0,71.0
1961581,9.0,37.0,14.0
1961582,7.0,39.0,80.0
1961583,85.0,40.0,17.0
1961584,96.0,41.0,51.0
1961585,36.0,40.0,65.0
1961586,66.0,10.0,62.0
1961587,,41.0,1.0
1961588,99.0,13.0,49.0
1961589,4.0,99.0,36.0
1961590,76.0,26.0,20.0
1961591,23.0,6.0,28.0
1961592,59.0,35.0,38.0
1961593,76.0,71.0,65.0
1961594,50.0,59.0,27.0
1961595,25.0,92.0,52.0
1961596,92.0,0.0,31.0
1961597,88.0,41.0,19.0
1961598,80.0,87.0,3.0
1961599,31.0,64.0,88.0
1961600,4.0,8.0,79.0
1961601,88.0,41.0,53.0
1961602,59.0,63.0,
1961603,13.0,26.0,92.0
1961604,36.0,64.0,9.0
1961605,55.0,19.0,84.0
1961606,5.0,63.0,68.0
1961607,2.0,71.0,38.0
1961608,67.0,31.0,37.0
1961609,92.0,51.0,38.0
1961610,78.0,53.0,1.0
1961611,93.0,95.0,49.0
1961612,73.0,18.0,98.0
1961613,85.0,51.0,99.0
1961614,15.0,97.0,48.0
1961615,97.0,74.0,66.0
1961616,23.0,75.0,80.0
1961617,65.0,94.0,30.0
1961618,92.0,1.0,9.0
1961619,,57.0,37.0
1961620,13.0,88.0,75.0
1961621,20.0,80.0,55.0
1961622,3.0,30.0,87.0
1961623,,36.0,73.0
1961624,65.0,3.0,90.0
1961625,66.0,91.0,97.0
1961626,35.0,91.0,49.0
1961627,52.0,22.0,45.0
1961628,23.0,74.0,48.0
1961629,31.0,75.0,99.0
1961630,28.0,,53.0
1961631,8.0,,55.0
1961632,74.0,10.0,5.0
1961633,67.0,17.0,49.0
1961634,26.0,85.0,60.0
1961635,47.0,39.0,13.0
1961636,55.0,20.0,
1961637,16.0,10.0,48.0
1961638,47.0,,7.0
1961639,64.0,52.0,43.0
1961640,19.0,24.0,72.0
1961641,79.0,33.0,86.0
1961642,10.0,75.0,98.0
1961643,93.0,37.0,16.0
1961644,37.0,41.0,28.0
1961645,67.0,2.0,98.0
1961646,26.0,16.0,62.0
1961647,84.0,11.0,73.0
1961648,97.0,68.0,20.0
1961649,19.0,10.0,62.0
1961650,,70.0,60.0
1961651,25.0,23.0,95.0
1961652,78.0,43.0,79.0
1961653,69.0,58.0,63.0
1961654,86.0,2.0,31.0
1961655,5.0,42.0,36.0
1961656,80.0,0.0,83.0
1961657,53.0,52.0,80.0
1961658,12.0,46.0,49.0
1961659,47.0,12.0,99.0
1961660,,,0.0
1961661,87.0,40.0,
1961662,,30.0,43.0
1961663,61.0,49.0,0.0
1961664,95.0,57.0,19.0
1961665,94.0,12.0,
1961666,11.0,28.0,
1961667,71.0,37.0,35.0
1961668,37.0,13.0,72.0
1961669,8.0,2.0,1.0
1961670,,52.0,93.0
1961671,60.0,83.0,50.0
1961672,9.0,65.0,78.0
1961673,43.0,97.0,8.0
1961674,97.0,0.0,45.0
1961675,38.0,69.0,80.0
1961676,92.0,94.0,89.0
1961677,73.0,40.0,47.0
1961678,23.0,15.0,5.0
1961679,36.0,32.0,45.0
1961680,17.0,72.0,61.0
1961681,8.0,26.0,
1961682,,69.0,84.0
1961683,36.0,62.0,67.0
1961684,2.0,53.0,85.0
1961685,58.0,92.0,60.0
1961686,2.0,58.0,93.0
1961687,16.0,,76.0
1961688,62.0,57.0,28.0
1961689,47.0,55.0,48.0
1961690,26.0,9.0,70.0
1961691,87.0,46.0,83.0
1961692,,77.0,89.0
1961693,,32.0,25.0
1961694,96.0,46.0,70.0
1961695,10.0,92.0,26.0
1961696,60.0,28.0,26.0
1961697,91.0,18.0,81.0
1961698,43.0,59.0,77.0
1961699,28.0,22.0,56.0
1961700,40.0,65.0,56.0
1961701,23.0,23.0,69.0
1961702,16.0,54.0,63.0
1961703,2.0,88.0,62.0
1961704,31.0,58.0,38.0
1961705,59.0,7.0,88.0
1961706,86.0,0.0,49.0
1961707,84.0,54.0,7.0
1961708,73.0,33.0,89.0
1961709,73.0,52.0,96.0
1961710,18.0,46.0,10.0
1961711,15.0,54.0,82.0
1961712,36.0,34.0,37.0
1961713,59.0,82.0,93.0
1961714,85.0,72.0,90.0
1961715,53.0,72.0,60.0
1961716,45.0,73.0,96.0
1961717,14.0,24.0,86.0
1961718,7.0,68.0,60.0
1961719,81.0,42.0,21.0
1961720,76.0,91.0,83.0
1961721,55.0,77.0,87.0
1961722,85.0,11.0,25.0
1961723,65.0,36.0,35.0
1961724,46.0,80.0,20.0
1961725,20.0,68.0,86.0
1961726,8.0,85.0,7.0
1961727,76.0,62.0,68.0
1961728,67.0,23.0,14.0
1961729,21.0,78.0,85.0
1961730,0.0,65.0,15.0
1961731,75.0,9.0,29.0
1961732,1.0,92.0,41.0
1961733,,4.0,18.0
1961734,36.0,87.0,63.0
1961735,,24.0,26.0
1961736,,24.0,11.0
1961737,43.0,99.0,7.0
1961738,86.0,47.0,22.0
1961739,39.0,12.0,
1961740,85.0,73.0,75.0
1961741,15.0,39.0,51.0
1961742,5.0,30.0,75.0
1961743,4.0,64.0,39.0
1961744,,83.0,74.0
1961745,7.0,27.0,79.0
1961746,20.0,40.0,46.0
1961747,44.0,53.0,1.0
1961748,98.0,35.0,57.0
1961749,74.0,70.0,42.0
1961750,62.0,20.0,36.0
1961751,32.0,72.0,53.0
1961752,82.0,92.0,61.0
1961753,96.0,55.0,85.0
1961754,4.0,92.0,10.0
1961755,10.0,94.0,20.0
1961756,97.0,99.0,8.0
1961757,37.0,65.0,40.0
1961758,84.0,4.0,11.0
1961759,17.0,1.0,38.0
1961760,95.0,91.0,73.0
1961761,33.0,22.0,86.0
1961762,19.0,60.0,24.0
