basin_id,jul,aug,sep,oct,nov,dec
1,0.0003,0.0006,0.001,0.0018,0.003,0.005
2,0.001,0.0018,0.003,0.0051,0.0084,0.014
3,0.0006,0.0013,0.0022,0.0037,0.0062,0.0102
4,0.0034,,0.0127,0.021,0.0347,0.0575
5,0.4066,0.441,0.3377,0.3749,0.4938,0.8021
6,0.0027,0.0058,0.0109,0.0182,0.0301,0.0498
7,0.0145,0.0196,0.0228,0.051,0.0845,0.14
8,0.0098,0.0212,0.0371,0.0624,0.1034,0.1712
9,0.016,0.0265,0.0337,0.0491,0.094,0.1556
10,0.0013,0.0024,0.0043,0.0077,0.0127,
11,0.0113,0.02,0.0332,0.0549,0.0909,0.1506
12,0.0007,0.0011,0.0019,0.0031,0.0052,0.0086
13,0.0036,0.0082,0.0125,0.0235,0.0389,0.0643
14,0.6625,1.1014,1.6666,1.6387,3.5976,5.9357
15,0.0733,0.1416,0.1864,0.2935,0.541,0.8952
16,0.0138,0.0228,0.0291,0.0475,0.0846,0.1396
17,0.0072,0.0141,0.0209,0.0388,0.0642,0.1064
18,0.1106,0.1725,0.149,0.118,0.3123,0.5168
19,0.0397,0.0741,0.1116,0.1636,0.2882,0.474
20,0.0047,0.0083,0.0082,0.0188,0.0311,0.0514
21,0.001,0.0019,0.0026,0.005,0.0083,0.0138
22,0.0353,0.0596,0.073,0.129,0.2257,0.3736
23,0.0169,0.0289,0.0337,0.047,0.0956,0.1582
24,0.0883,0.1529,0.2255,0.2618,0.539,0.8919
25,7.2572,9.7862,6.64,3.658,4.168,6.6834
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.002,0.0033,0.0045,0.0082,0.0136,0.0225
28,0.009,0.0149,0.0164,0.0349,0.0578,0.0956
29,0.0058,0.0103,0.0171,0.0282,0.0468,0.0774
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0404,0.0667,0.0643,0.14,0.2318,0.3836
32,0.0356,0.0589,0.0349,0.028,0.0766,0.1269
33,0.0126,0.0181,0.012,0.0082,0.0234,0.0387
34,0.2062,0.3396,0.441,0.403,0.9453,1.5637
35,0.0,0.0,0.0,0.0001,0.0001,0.0002
36,0.0945,0.1508,0.1719,0.1061,0.2914,0.4823
37,0.0176,0.0283,0.0275,0.0601,0.0995,0.1647
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0192,0.0319,0.0499,0.046,0.1032,0.1708
40,0.2987,0.4619,0.4464,0.2317,0.6793,1.1239
41,0.0048,0.0076,0.0077,0.0051,0.0137,0.0229
42,0.0206,0.0342,0.04,0.02,0.0442,0.0845
43,0.4362,0.7037,0.5771,0.3101,0.8793,1.4547
44,0.0139,0.0195,0.0175,0.0146,0.0352,0.0609
45,0.0021,0.0036,0.0043,0.0084,0.014,0.0231
46,0.0476,0.0704,0.0768,0.0615,0.1582,0.2619
47,0.0041,0.0047,0.0041,0.0033,0.0057,0.0095
48,0.3492,0.5502,0.8113,0.7758,1.6744,2.7678
49,0.0198,0.0281,0.0238,0.017,0.0258,0.035
50,0.1487,0.2461,0.1958,0.1314,0.3671,0.6075
51,0.0053,0.0053,0.0054,0.012,0.021,0.0347
52,0.94,1.6671,1.6837,0.8682,2.1329,3.7524
53,0.1881,0.2819,0.3877,0.2997,0.7102,1.1819
54,0.0156,0.0188,0.0158,0.0279,0.0557,0.0921
55,1.6307,2.9313,3.3671,2.1029,2.0639,5.2481
56,1.6824,2.9494,2.6044,1.5526,2.3799,5.1865
57,0.0001,0.0001,0.0002,0.0003,0.0005,0.0008
58,0.0017,0.003,0.0031,0.0056,0.0105,0.0174
59,1.0384,1.5595,0.7779,0.643,1.2754,2.3375
60,3.0361,5.7593,7.2883,5.6361,1.7038,5.5237
61,2.1068,2.2544,1.735,,,1.2777
62,0.0005,0.0008,0.0009,0.0018,0.003,0.005
