Id,copper,flouride,bacteria,viruses,lead
401,0.17,0.05,0.2,0.0,0.054
402,0.66,0.9,0.65,0.65,0.1
403,0.02,0.99,0.05,0.003,0.078
404,1.66,1.08,0.71,0.71,0.016
405,0.57,0.61,0.13,0.001,0.117
406,1.38,0.11,0.67,0.67,0.135
407,1.88,0.33,0.13,0.007,0.021
408,1.86,0.86,0.16,0.005,0.197
409,1.45,0.98,,0.002,0.167
410,0.82,1.24,0.83,0.83,0.109
411,0.6,1.29,0.04,0.008,0.145
412,0.17,0.58,0.52,0.52,0.011
413,1.0,0.09,0.91,0.91,0.103
414,1.35,1.07,0.7,0.7,0.101
415,0.79,0.54,0.2,0.009,0.126
416,1.54,0.62,0.23,0.001,0.017
417,1.08,1.43,0.89,0.89,0.08
418,1.15,0.34,0.85,0.85,0.065
419,0.71,0.99,0.75,0.75,0.071
420,1.82,0.22,0.99,0.99,0.108
421,1.18,1.0,0.92,0.92,0.086
422,1.51,1.46,0.58,0.58,0.061
423,1.77,0.43,0.8,0.8,0.114
424,1.23,1.44,0.56,0.56,0.012
425,1.34,0.29,0.96,0.96,0.167
426,1.05,1.0,0.25,0.007,0.109
427,1.09,1.35,0.16,0.002,0.031
428,0.27,0.53,0.44,0.002,0.11
429,1.57,0.26,0.69,0.69,0.182
430,0.46,1.41,0.08,0.006,0.049
431,1.53,0.87,0.13,0.008,0.079
432,1.03,0.51,0.77,0.77,0.012
433,1.56,0.91,0.38,0.005,0.013
434,1.35,1.24,0.12,0.006,0.193
435,1.09,0.0,0.8,0.8,0.091
436,0.9,0.55,0.3,0.002,0.135
437,1.85,1.24,0.75,0.75,0.124
438,0.91,0.42,0.44,0.006,0.107
439,1.88,0.4,,0.004,0.085
440,0.08,0.34,0.26,0.003,0.146
441,0.22,0.68,0.63,0.63,0.162
442,0.29,0.51,0.86,0.86,0.048
443,1.92,1.2,0.32,0.003,0.082
444,1.29,1.04,0.49,0.001,0.079
445,1.14,0.36,0.13,0.008,0.071
446,1.71,1.42,0.27,0.002,0.103
447,1.59,1.04,0.08,0.007,0.141
448,0.3,,0.38,0.002,0.131
449,0.54,0.14,0.27,0.004,0.069
450,1.79,0.89,0.67,0.67,0.136
451,0.54,1.33,,0.001,0.166
452,0.44,1.2,0.77,0.77,0.112
453,1.97,0.59,0.18,0.007,0.169
454,1.98,0.66,0.06,0.008,0.101
455,0.65,0.9,0.58,0.58,0.093
456,1.23,0.75,0.79,0.79,0.025
457,1.06,0.1,0.84,0.84,0.139
458,1.08,0.15,0.23,0.007,0.184
459,0.14,1.01,0.42,0.0,0.015
460,1.26,0.83,0.77,0.77,0.09
461,1.34,0.03,0.98,0.98,0.068
462,1.69,1.47,0.05,0.008,0.123
463,1.75,1.28,0.23,0.008,0.177
464,1.61,0.45,0.24,0.002,0.149
465,0.19,0.52,0.74,0.74,0.062
466,0.38,0.02,0.76,0.76,0.121
467,0.34,0.14,0.06,0.004,0.086
468,0.93,0.2,0.51,0.51,0.105
469,0.7,0.32,,0.65,0.168
470,1.55,1.09,0.72,0.72,0.137
471,1.11,0.36,0.27,0.006,0.189
472,1.97,0.61,0.52,0.52,0.095
473,0.42,1.13,0.05,0.004,0.053
474,1.34,0.26,0.07,0.008,0.113
475,0.18,0.13,0.79,0.79,0.132
476,1.28,0.32,0.53,0.53,0.175
477,1.14,1.14,0.45,0.004,0.045
478,0.71,0.52,0.39,0.007,0.146
479,1.99,0.22,0.25,0.008,0.085
480,1.21,1.21,0.83,0.83,0.105
481,1.3,0.5,0.1,0.008,0.036
482,0.95,0.28,0.53,0.53,0.182
483,0.01,0.43,0.27,0.007,0.033
484,1.44,0.3,0.18,0.004,0.162
485,0.52,0.32,0.31,0.002,
486,1.44,0.58,0.96,0.96,0.191
487,1.01,0.68,0.11,0.006,0.127
488,1.64,0.86,0.64,0.64,0.032
489,0.22,0.01,0.76,0.76,0.052
490,0.22,1.09,0.57,0.57,0.101
491,0.76,,0.79,0.79,0.049
492,1.5,0.69,0.82,0.82,0.053
493,1.99,1.29,0.86,0.86,0.047
494,1.57,0.66,0.58,0.58,0.071
495,1.23,0.86,0.87,0.87,0.019
496,0.25,1.25,0.7,0.7,0.129
497,0.87,0.69,0.55,0.55,0.153
498,1.77,0.62,0.14,0.006,0.137
499,0.73,0.68,0.45,0.006,0.053
500,1.1,1.48,0.75,0.75,0.147
501,0.77,0.76,0.51,0.51,0.086
502,0.14,1.42,1.0,1.0,0.082
503,0.62,0.97,0.23,0.006,0.12
504,0.36,0.73,0.47,0.0,0.003
505,1.43,1.49,0.58,0.58,0.16
