Id,math score,reading score,writing score
1961001,64.0,64.0,66.0
1961002,69.0,90.0,
1961003,81.0,85.0,83.0
1961004,42.0,51.0,39.0
1961005,68.0,70.0,67.0
1961006,63.0,74.0,70.0
1961007,88.0,95.0,92.0
1961008,36.0,38.0,35.0
1961009,64.0,64.0,67.0
1961010,34.0,54.0,45.0
1961011,52.0,48.0,46.0
1961012,36.0,46.0,38.0
1961013,58.0,72.0,65.0
1961014,78.0,72.0,70.0
1961015,45.0,47.0,
1961016,62.0,67.0,70.0
1961017,79.0,80.0,77.0
1961018,16.0,,25.0
1961019,46.0,42.0,46.0
1961020,48.0,52.0,54.0
1961021,59.0,62.0,56.0
1961022,65.0,75.0,70.0
1961023,39.0,48.0,47.0
1961024,62.0,65.0,65.0
1961025,74.0,71.0,80.0
1961026,65.0,66.0,64.0
1961027,62.0,48.0,49.0
1961028,60.0,62.0,67.0
1961029,63.0,63.0,58.0
1961030,55.0,63.0,67.0
1961031,62.0,66.0,66.0
1961032,56.0,58.0,54.0
1961033,50.0,64.0,58.0
1961034,36.0,37.0,34.0
1961035,87.0,78.0,73.0
1961036,81.0,81.0,79.0
1961037,66.0,72.0,74.0
1961038,45.0,57.0,53.0
1961039,75.0,90.0,88.0
1961040,51.0,50.0,51.0
1961041,49.0,54.0,48.0
1961042,52.0,65.0,61.0
1961043,47.0,52.0,58.0
1961044,59.0,65.0,66.0
1961045,45.0,50.0,48.0
1961046,58.0,48.0,
1961047,55.0,65.0,62.0
1961048,59.0,63.0,68.0
1961049,57.0,74.0,76.0
1961050,82.0,84.0,
1961051,47.0,49.0,43.0
1961052,77.0,69.0,68.0
1961053,47.0,39.0,37.0
1961054,79.0,70.0,67.0
1961055,,84.0,87.0
1961056,29.0,36.0,38.0
1961057,82.0,85.0,86.0
1961058,46.0,49.0,44.0
1961059,58.0,59.0,58.0
1961060,0.0,15.0,9.0
1961061,79.0,74.0,
1961062,35.0,35.0,30.0
1961063,55.0,54.0,49.0
1961064,62.0,72.0,63.0
1961065,53.0,52.0,
1961066,60.0,57.0,54.0
1961067,40.0,33.0,
1961068,54.0,64.0,66.0
1961069,54.0,52.0,50.0
1961070,35.0,57.0,51.0
1961071,58.0,63.0,73.0
1961072,63.0,55.0,63.0
1961073,36.0,45.0,43.0
1961074,54.0,51.0,50.0
1961075,44.0,44.0,36.0
1961076,39.0,36.0,34.0
1961077,27.0,23.0,19.0
1961078,80.0,78.0,81.0
1961079,61.0,74.0,72.0
1961080,55.0,61.0,61.0
1961081,42.0,44.0,
1961082,44.0,40.0,40.0
1961083,50.0,47.0,54.0
1961084,64.0,57.0,56.0
1961085,37.0,35.0,30.0
1961086,65.0,72.0,73.0
1961087,68.0,74.0,79.0
1961088,63.0,,66.0
1961089,52.0,63.0,60.0
1961090,65.0,77.0,73.0
1961091,58.0,64.0,66.0
1961092,24.0,30.0,32.0
1961093,63.0,71.0,63.0
1961094,43.0,45.0,50.0
1961095,71.0,77.0,
1961096,78.0,81.0,82.0
1961097,65.0,66.0,62.0
1961098,63.0,72.0,70.0
1961099,52.0,60.0,55.0
1961100,58.0,60.0,55.0
1961101,71.0,60.0,60.0
1961102,68.0,74.0,74.0
1961103,76.0,,80.0
1961104,60.0,44.0,47.0
1961105,98.0,86.0,90.0
1961106,52.0,60.0,64.0
1961107,78.0,90.0,90.0
1961108,66.0,63.0,64.0
